OLIGOTYPE	PHYLUM	NUM_BEST_HITS	BEST_PCT_ID	BEST_FULL_PCT_ID	HMTs	HOMD_SPECIES	STRAIN_CLONE	HOMD_REFSEQ_ID	GB_NCBI_ID	HOMD_STATUS
V1V3_198_Firmicutes	Firmicutes	12	100.0	99.219	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_199_Firmicutes	Firmicutes	7	99.609	99.609	HMT-058,HMT-061,HMT-707,HMT-070,HMT-064,HMT-638,HMT-398	Streptococcus oralis subsp. dentisani clade 058,Streptococcus sp. HMT 061,Streptococcus oralis subsp. oralis,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus sp. HMT 064,Streptococcus infantis clade 638,Streptococcus oralis subsp. dentisani clade 398	Clone: C3MLM097,Clone: DN025,Strain: ATCC 35037,Strain: Hans 12F,Clone: C5MLM037,Strain: ATCC 700779,Clone: P2PA_41	058_8632,061DN025,707_3932,070-12F,064_8609,638_8315,398_7051	AY278632,AF432131,AF003932,GQ422711,AY278609,AB008315,AY207051	Named,Lost,Named,Unnamed,Unnamed,Named,Named	
V1V3_200_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-299	Prevotella nanceiensis	Clone: BI027	299BI027	AY005064	Named	
V1V3_201_Firmicutes	Firmicutes	1	99.609	99.609	HMT-122	Megasphaera micronuciformis	Clone: BU057	122BU057	AF385566	Named	
V1V3_202_Fusobacteria	Fusobacteria	1	99.605	99.605	HMT-215	Leptotrichia sp. HMT 215	Clone: DR011	215DR011	AF385518	Unnamed	
V1V3_203_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_204_Bacteroidetes	Bacteroidetes	1	99.07	99.07	HMT-275	Porphyromonas sp. HMT 275	Clone: AW032	275AW032	AF393476	Phylotype	
V1V3_205_Actinobacteria	Actinobacteria	2	99.559	100.0	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_206_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-203,HMT-203,HMT-203	Fusobacterium sp. HMT 203,Fusobacterium sp. HMT 203,Fusobacterium sp. HMT 203	Clone: _I035,Clone: CY024,Clone: FV003	203_I035,203CY024,203FV003	AF287815,AF287809,GQ422730	Unnamed,Unnamed,Unnamed	
V1V3_207_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-181	Schaalia lingnae [Not Validly Published]	Clone: ncd2206a07c1	181_1692	JF191692	Named	
V1V3_208_Firmicutes	Firmicutes	2	99.609	99.609	HMT-161,HMT-160	Veillonella parvula,Veillonella dispar	Clone: BU083,Strain: DSM 20735	161BU083,160Vdisp	AF366266,X84006	Named,Named	
V1V3_209_Actinobacteria	Actinobacteria	3	99.558	99.558	HMT-180,HMT-180,HMT-172,HMT-671	Schaalia sp. HMT 180,Schaalia sp. HMT 180,Schaalia sp. HMT 172,Schaalia meyeri	Strain: C3M24,Strain: Hal-1083,Clone: CT047,Strain: CIP 103148	180_8611,180H1083,172CT047,671_2451	AY278611,AF385522,AF385504,X82451	Unnamed,Unnamed,Unnamed,Named	
V1V3_210_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-309,HMT-309	Prevotella sp. HMT 309,Prevotella sp. HMT 309	Clone: DO045,Clone: 3083	309DO045,309_6203	AF385515,FJ976203	Phylotype,Phylotype	
V1V3_211_Actinobacteria	Actinobacteria	1	99.559	100.0	HMT-666	Corynebacterium matruchotii	Strain: CIP 81.82	666_2065	X82065	Named	
V1V3_212_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_213_Fusobacteria	Fusobacteria	1	99.209	99.209	HMT-212	Leptotrichia sp. HMT 212	Clone: BU064	212BU064	AY008309	Unnamed	
V1V3_214_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_215_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_216_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-307	Prevotella salivae	Strain: DSM 15606	307_8826	AB108826	Named	
V1V3_217_Gammaproteobacteria	Gammaproteobacteria	2	100.0	100.0	HMT-035,HMT-945,HMT-945	Haemophilus paraphrohaemolyticus,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus	Strain: NCTC 10670,Strain: NCTC 8479,Strain: G321	035_8142,945_5746,945_5384	NR_118142,AJ295746,LK985384	Named,Named,Named	
V1V3_218_Firmicutes	Firmicutes	1	100.0	100.0	HMT-118,HMT-118	Dialister invisus,Dialister invisus	Clone: BS095,Strain: GBA27	118BS095,118GBA27	AF287787,AF287788	Named,Named	
V1V3_219_Actinobacteria	Actinobacteria	3	98.678	99.115	HMT-180,HMT-180,HMT-172,HMT-671	Schaalia sp. HMT 180,Schaalia sp. HMT 180,Schaalia sp. HMT 172,Schaalia meyeri	Strain: C3M24,Strain: Hal-1083,Clone: CT047,Strain: CIP 103148	180_8611,180H1083,172CT047,671_2451	AY278611,AF385522,AF385504,X82451	Unnamed,Unnamed,Unnamed,Named	
V1V3_220_Betaproteobacteria	Betaproteobacteria	1	99.216	99.216	HMT-683	Simonsiella muelleri	Strain: ATCC29453T	683_8147	AF328147	Named	
V1V3_221_Fusobacteria	Fusobacteria	2	99.605	99.605	HMT-563,HMT-225,HMT-225	Leptotrichia buccalis,Leptotrichia sp. HMT 225,Leptotrichia sp. HMT 225	Strain: not listed,Clone: HE052,Strain: FEA2	563_7788,225HE052,225_FEA2	L37788,GQ422732,GQ422731	Named,Unnamed,Unnamed	
V1V3_222_Firmicutes	Firmicutes	3	99.609	99.609	HMT-107,HMT-082,HMT-082,HMT-494,HMT-494	Lachnoanaerobaculum umeaense,Lachnoanaerobaculum orale,Lachnoanaerobaculum orale,Lachnoanaerobaculum saburreum,Lachnoanaerobaculum saburreum	Strain: F0167,Clone: BE088,Strain: F0431,Strain: DSM 3986,Clone: IR009	107F0167,082BE088,082F0431,494_RDP,494IR009	tbd,AF385552,tbd,RDP,AY349376	Named,Named,Named,Named,Named	
V1V3_223_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-308	Alloprevotella sp. HMT 308	Clone: DO039	308DO039	AF385513	Phylotype	
V1V3_224_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-930	Porphyromonas sp. HMT 930	Clone: 071041_260	930_8499	JQ468499	Phylotype	
V1V3_225_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-306	Prevotella sp. HMT 306	Clone: DO027	306DO027	AF385511	Unnamed	
V1V3_226_Firmicutes	Firmicutes	1	99.219	99.219	HMT-389	Abiotrophia defectiva	Strain: ATCC 49176	389_0541	D50541	Named	
V1V3_227_Bacteroidetes	Bacteroidetes	1	98.14	98.14	HMT-325	Capnocytophaga granulosa	Strain: LMG 16022	325_1347	U41347	Named	
V1V3_228_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-641,HMT-641	Haemophilus influenzae,Haemophilus influenzae	Clone: ncd2740e04c1,Strain: ATCC 33391	641N000B,641_5019	JF236380,M35019	Named,Named	
V1V3_229_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-511	Bacteroidetes [G-5] bacterium HMT 511	Clone: MB3_C19	511_3634	DQ003634	Phylotype	
V1V3_230_Firmicutes	Firmicutes	1	100.0	100.0	HMT-122	Megasphaera micronuciformis	Clone: BU057	122BU057	AF385566	Named	
V1V3_231_TM7	TM7	1	99.574	99.574	HMT-347	Saccharibacteria (TM7) [G-1] bacterium HMT 347	Clone: BE109	347BE109	AY005446	Phylotype	
V1V3_232_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-181	Schaalia lingnae [Not Validly Published]	Clone: ncd2206a07c1	181_1692	JF191692	Named	
V1V3_233_Actinobacteria	Actinobacteria	2	98.673	98.673	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_234_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-866,HMT-866	Actinomyces graevenitzii,Actinomyces graevenitzii	Strain: F0530,Strain: CCUG 27294	866F0530,866_2167	tbd,NR_042167	Named,Named	
V1V3_235_Actinobacteria	Actinobacteria	3	98.678	99.115	HMT-180,HMT-180,HMT-172,HMT-701	Schaalia sp. HMT 180,Schaalia sp. HMT 180,Schaalia sp. HMT 172,Schaalia odontolyticus	Strain: C29KA,Strain: Hal-1083,Clone: CT047,Strain: NCTC 9935	180C29KA,180H1083,172CT047,701_0504	AF287751,AF385522,AF385504,X80504	Unnamed,Unnamed,Unnamed,Named	
V1V3_236_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-714	Prevotella pallens	Strain: JCM 11140	714_3121	NR_113121	Named	
V1V3_237_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-336	Capnocytophaga sp. HMT 336	Strain: F0502	336F0502	tbd	Unnamed	
V1V3_238_Firmicutes	Firmicutes	1	99.219	99.219	HMT-389	Abiotrophia defectiva	Strain: ATCC 49176	389_0541	D50541	Named	
V1V3_239_Actinobacteria	Actinobacteria	2	98.678	99.115	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_240_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-866,HMT-866	Actinomyces graevenitzii,Actinomyces graevenitzii	Strain: F0530,Strain: CCUG 27294	866F0530,866_2167	tbd,NR_042167	Named,Named	
V1V3_241_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-279	Porphyromonas pasteri	Strain: F0450d	279F450d	tbd	Named	
V1V3_242_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-666	Corynebacterium matruchotii	Strain: CIP 81.82	666_2065	X82065	Named	
V1V3_243_Actinobacteria	Actinobacteria	2	99.558	99.558	HMT-175,HMT-169,HMT-169,HMT-169	Actinomyces sp. HMT 175,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169	Clone: ncd1455a04c1,Clone: AG004,Strain: F0496a,Strain: F0496b	175_5563,169AG004,169F496a,169F496b	JF125563,AF287747,tbd,tbd	Unnamed,Unnamed,Unnamed,Unnamed	
V1V3_244_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-466	Alloprevotella tannerae	Strain: 93-1-2	466_3406	AF183406	Named	
V1V3_245_Bacteroidetes	Bacteroidetes	3	93.488	93.488	HMT-326,HMT-627,HMT-627,HMT-338	Capnocytophaga sp. HMT 326,Capnocytophaga haemolytica,Capnocytophaga haemolytica,Capnocytophaga sp. HMT 338	Strain: F0382,Strain: JCM 8565,Clone: 069086_014,Strain: FDC 8	326F0382,627_1349,627_1748,338Capn8	tbd,U41349,JQ451748,U41352	Unnamed,Named,Named,Unnamed	
V1V3_246_Bacteroidetes	Bacteroidetes	2	100.0	100.0	HMT-277,HMT-278	Porphyromonas sp. HMT 277,Porphyromonas sp. HMT 278	Clone: BR037,Clone: BS045	277BR037,278BS045	AF385555,AF385560	Phylotype,Unnamed	
V1V3_247_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-641	Haemophilus influenzae	Strain: M3669	641_3619	AY613619	Named	
V1V3_248_Epsilonproteobacteria	Epsilonproteobacteria	1	99.245	99.245	HMT-575	Campylobacter concisus	Strain: FDC 288	575_6977	L06977	Named	
V1V3_249_Gammaproteobacteria	Gammaproteobacteria	2	99.219	99.219	HMT-035,HMT-035,HMT-945,HMT-945	Haemophilus paraphrohaemolyticus,Haemophilus paraphrohaemolyticus,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus	Strain: NCTC 10670,Clone: ELU0153-000341,Strain: NCTC 8479,Strain: G321	035_8142,035_3523,945_5746,945_5384	NR_118142,HQ803523,AJ295746,LK985384	Named,Named,Named,Named	
V1V3_250_TM7	TM7	1	99.149	99.149	HMT-351	Saccharibacteria (TM7) [G-3] bacterium HMT 351	Clone: CW040	351CW040	AF385506	Phylotype	
V1V3_251_Firmicutes	Firmicutes	3	99.609	99.609	HMT-108,HMT-108,HMT-934,HMT-934,HMT-457	Oribacterium asaccharolyticum,Oribacterium asaccharolyticum,Oribacterium parvum,Oribacterium parvum,Oribacterium sinus	Strain: ACB7,Strain: F0425,Strain: FTB41,Strain: ACB1,Strain: F0268	108_5571,108F0425,934FTB41,934_5570,457F0268	NR_125571,tbd,AF287770,NR_125570,FJ577261	Named,Named,Named,Named,Named	
V1V3_252_Firmicutes	Firmicutes	1	100.0	100.0	HMT-056	Streptococcus sp. HMT 056	Clone: AY020	056AY020	AF385545	Unnamed	
V1V3_253_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-466	Alloprevotella tannerae	Strain: ATCC 51259	466_5634	AJ005634	Named	
V1V3_254_Betaproteobacteria	Betaproteobacteria	1	97.255	97.255	HMT-476	Neisseria subflava	Strain: U37	476_9291	AJ239291	Named	
V1V3_255_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-643	Prevotella intermedia	Strain: 17	643_2907	NR_102907	Named	
V1V3_256_Firmicutes	Firmicutes	2	98.828	98.828	HMT-136,HMT-149	Selenomonas sp. HMT 136,Selenomonas sp. HMT 149	Clone: ncd2234b08c1,Clone: FT050	136_3497,149FT050	JF193497,AY349403	Unnamed,Unnamed	
V1V3_257_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-666	Corynebacterium matruchotii	Strain: CIP 81.82	666_2065	X82065	Named	
V1V3_258_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-311,HMT-311	Prevotella oris,Prevotella oris	Strain: ATCC 33573,Clone: _F045	311_6474,311_F045	L16474,AY005056	Named,Named	
V1V3_259_Firmicutes	Firmicutes	1	100.0	100.0	HMT-521	Mitsuokella sp. HMT 521	Clone: 9-1-7	521_3746	AY423746	Phylotype	
V1V3_260_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-953	Fusobacterium hwasookii	Strain: ChDC F128	953_0020	ALVD01000020	Named	
V1V3_261_Gammaproteobacteria	Gammaproteobacteria	1	99.609	99.609	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_262_Firmicutes	Firmicutes	3	100.0	100.0	HMT-639,HMT-481,HMT-479	Selenomonas infelix,Selenomonas sp. HMT 481,Selenomonas sp. HMT 479	Strain: ATCC 43532,Clone: IK004,Clone: GT010	639Sinfe,481IK004,479GT010	AF287802,AY349407,AY349405	Named,Lost,Lost	
V1V3_263_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-689	Fusobacterium naviforme	Strain: DMS 20699	689_6965	AJ006965	Named	
V1V3_264_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-286	Tannerella sp. HMT 286	Clone: BU063	286BU063	AY008308	Unnamed	
V1V3_265_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-171	Actinomyces sp. HMT 171	Clone: JA063	171JA063	AY349367	Unnamed	
V1V3_266_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-181	Schaalia lingnae [Not Validly Published]	Strain: Hal-1065	181H1065	AF385521	Named	
V1V3_267_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-204	Fusobacterium sp. HMT 204	Clone: CZ006	204CZ006	AF287810	Phylotype	
V1V3_268_Firmicutes	Firmicutes	1	100.0	100.0	HMT-165	Catonella morbi	Strain: ATCC 51271	165_7151	X87151	Named	
V1V3_269_Firmicutes	Firmicutes	1	100.0	100.0	HMT-161,HMT-161	Veillonella parvula,Veillonella parvula	Clone: AA050,Clone: _X042	161AA050,161_X042	AF287782,AF287781	Named,Named	
V1V3_270_Epsilonproteobacteria	Epsilonproteobacteria	1	100.0	100.0	HMT-044	Campylobacter sp. HMT 044	Clone: BB120	044BB120	AY005038	Phylotype	
V1V3_271_Actinobacteria	Actinobacteria	1	99.115	99.115	HMT-595	Corynebacterium durum	Strain: IBS G15036	595_7069	Z97069	Named	
V1V3_272_Firmicutes	Firmicutes	1	100.0	100.0	HMT-494,HMT-494	Lachnoanaerobaculum saburreum,Lachnoanaerobaculum saburreum	Strain: DSM 3986,Clone: IR009	494_RDP,494IR009	RDP,AY349376	Named,Named	
V1V3_273_Fusobacteria	Fusobacteria	1	97.233	97.233	HMT-879	Leptotrichia sp. HMT 879	Strain: F0557	879F0557	tbd	Unnamed	
V1V3_274_Actinobacteria	Actinobacteria	1	99.559	100.0	HMT-171	Actinomyces sp. HMT 171	Clone: JA063	171JA063	AY349367	Unnamed	
V1V3_275_Fusobacteria	Fusobacteria	3	99.605	99.605	HMT-200,HMT-200,HMT-200,HMT-689,HMT-202	Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii,Fusobacterium naviforme,Fusobacterium nucleatum subsp. polymorphum	Clone: AJ050,Clone: 071075_343,Strain: ATCC 49256,Strain: DMS 20699,Strain: ATCC 10953	200AJ050,200_7962,200_0026,689_6965,202_7812	AF287805,JQ477962,NZ_AABF02000026,AJ006965,AF287812	Named,Named,Named,Named,Named	
V1V3_276_Bacteroidetes	Bacteroidetes	1	99.535	100.0	HMT-872	Gracilibacteria (GN02) [G-1] bacterium HMT 872	Clone: CN02	872_CN02	JX294353	Phylotype	
V1V3_277_Bacteroidetes	Bacteroidetes	2	99.07	99.07	HMT-284,HMT-275	Porphyromonas sp. HMT 284,Porphyromonas sp. HMT 275	Clone: EP003,Clone: AW032	284EP003,275AW032	AY008313,AF393476	Lost,Phylotype	
V1V3_278_Firmicutes	Firmicutes	12	99.219	99.219	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_279_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_280_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-417	Leptotrichia sp. HMT 417	Clone: C3MKM102	417_8621	AY278621	Unnamed	
V1V3_281_Fusobacteria	Fusobacteria	1	99.605	99.605	HMT-221	Leptotrichia sp. HMT 221	Clone: FP036	221FP036	AF432138	Unnamed	
V1V3_282_Firmicutes	Firmicutes	4	99.609	99.609	HMT-411,HMT-411,HMT-411,HMT-411,HMT-057,HMT-728,HMT-056	Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus sp. HMT 057,Streptococcus peroris,Streptococcus sp. HMT 056	Clone: C5AKM109,Clone: SJTU_F_10_28,Clone: C2MKM006,Clone: C4MKM110,Clone: BE024,Strain: GTC848,Clone: AY020	411_8635,411_9017,411_8629,411_8634,057BE024,728_8314,056AY020	AY278635,EF399017,AY278629,AY278634,AF385550,AB008314,AF385545	Named,Named,Named,Named,Lost,Named,Unnamed	
V1V3_283_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-289	Prevotella maculosa	Clone: AA016	289AA016	AY005058	Named	
V1V3_284_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-582	Kingella denitrificans	Strain: UB-294	582_6166	L06166	Named	
V1V3_285_Bacteroidetes	Bacteroidetes	2	99.535	99.535	HMT-291,HMT-685	Prevotella denticola,Prevotella multiformis	Strain: ATCC 35308,Strain: PPPA21	291_3524,685_2483	AY323524,AB182483	Named,Named	
V1V3_286_Firmicutes	Firmicutes	1	99.609	99.609	HMT-158,HMT-158	Veillonella rogosae,Veillonella rogosae	Strain: F0412,Clone: BI029	158F0412,158BI029	tbd,GQ422725	Named,Named	
