Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015277-PTO	S700015653-PTO	S700016162-PTO	S700016327-PTO	S700016368-PTO	S700016584-PTO	S700016640-PTO	S700016941-PTO	S700021868-PTO	S700021906-PTO	S700023005-PTO	S700023261-PTO	S700023315-PTO	S700023412-PTO	S700023469-PTO	S700023570-PTO	S700023684-PTO	S700023780-PTO	S700023837-PTO	S700023894-PTO	S700023960-PTO	S700024017-PTO	S700024058-PTO	S700024121-PTO	S700024179-PTO	S700024225-PTO	S700024284-PTO	S700024332-PTO	S700024371-PTO	S700024427-PTO	S700024484-PTO	S700024533-PTO	S700024580-PTO	S700024629-PTO	S700024665-PTO	S700024725-PTO	S700024782-PTO	S700024819-PTO	S700024896-PTO	S700024940-PTO	S700024990-PTO	S700033011-PTO	S700033173-PTO	S700033468-PTO	S700033769-PTO	S700037066-PTO	S700037214-PTO	S700037462-PTO	S700037574-PTO	S700037726-PTO	S700038045-PTO	S700038241-PTO	S700038378-PTO	S700038464-PTO	S700038512-PTO	S700038560-PTO	S700038608-PTO	S700038716-PTO	S700038992-PTO	S700095392-PTO	S700095449-PTO	S700096305-PTO	S700097273-PTO	S700097333-PTO	S700097670-PTO	S700098309-PTO	S700098401-PTO	S700098974-PTO	S700099041-PTO	S700099101-PTO	S700099629-PTO	S700099785-PTO	S700100269-PTO	S700101677-PTO	S700102281-PTO	S700102627-PTO	S700102944-PTO	S700103255-PTO	S700103319-PTO	S700103460-PTO	S700103529-PTO	S700103599-PTO	S700103635-PTO	S700103686-PTO	S700105025-PTO	S700105079-PTO	S700105138-PTO	S700105195-PTO	S700105252-PTO	S700105298-PTO	S700105386-PTO	S700105431-PTO	S700105506-PTO	S700105660-PTO	S700105699-PTO	S700105753-PTO	S700105820-PTO	S700105918-PTO	S700106032-PTO	S700106107-PTO	S700106374-PTO	S700106426-PTO	S700106534-PTO	S700106593-PTO	S700106629-PTO	S700106677-PTO	S700106737-PTO	S700106851-PTO	S700106890-PTO	S700106960-PTO	S700113001-PTO	S700113049-PTO	S700113085-PTO	S700113132-PTO	S700113517-PTO	S700113592-PTO	S700113630-PTO	S700113688-PTO	S700113832-PTO	S700113946-PTO	S700114031-PTO	S700114080-PTO	S700114139-PTO	S700114203-PTO	S700114260-PTO	S700114317-PTO	S700114365-PTO	S700114401-PTO	S700114531-PTO	S700114572-PTO	S700114629-PTO	S700114693-PTO	S700114741-PTO	S700114791-PTO	S700114848-PTO	S700114896-PTO	S700114953-PTO	S700116231-PTO	S700116318-PTO	S700116372-PTO	S700116582-PTO	S700116633-PTO	S700116792-PTO	S700116852-PTO	S700117014-PTO	S700117674-PTO	S700117731-PTO	S700117842-PTO	S700117968-PTO	S700118452-PTO
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-126	species	126	2415		0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.017	0.0	0.016	0.027	0.0	0.04	0.0	0.0	0.0	0.069	0.062	0.072	0.0	0.0	0.0	0.013	0.006	0.0	0.011	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.214	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.062	0.0	0.0	0.0	0.015	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.082	0.0	0.038	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.016	0.0	0.055	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-136	species	136	2425		0.0	0.104	0.0	0.0	0.0	0.08	0.014	0.0	2.736	0.074	0.0	1.8	0.12	0.0	0.118	0.124	0.031	0.839	0.344	0.443	0.072	0.21	0.214	0.248	0.078	0.048	0.258	0.06	2.506	1.317	0.0	0.172	0.056	0.805	0.031	0.235	0.067	0.431	0.362	0.329	0.056	0.017	0.0	0.036	0.04	1.638	1.227	0.044	0.097	0.073	0.289	0.075	0.265	2.273	1.046	0.094	0.562	0.007	2.894	0.028	0.0	0.092	0.0	0.088	0.297	0.0	0.0	0.555	0.096	0.153	0.123	0.0	0.017	0.079	0.003	0.505	0.015	0.008	1.082	0.0	0.013	0.364	2.257	0.0	0.564	0.261	0.063	0.531	0.015	0.204	0.0	0.646	0.035	0.0	0.091	0.0	0.317	0.014	1.947	0.474	0.0	0.077	0.05	0.018	0.0	2.083	0.134	0.539	0.0	1.561	0.156	0.633	0.169	0.412	0.091	0.092	1.096	0.38	0.149	0.135	0.033	0.513	1.963	0.0	0.191	0.021	0.151	0.042	0.273	0.08	0.172	0.228	0.072	0.158	0.086	2.214	0.092	0.368	0.031	0.301	0.27	0.0	0.124	0.507	0.183	0.028	0.216	0.097	0.936	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-146	species	146	2434		0.0	0.0	0.0	0.053	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.016	0.012	0.0	0.0	0.02	0.0	0.0	0.0	0.19	0.021	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.015	0.0	0.012	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.033	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.696	0.0	0.038	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-149	species	149	2436		0.0	0.031	0.0	0.0	0.0	0.016	0.014	0.036	0.355	0.015	0.023	0.14	0.0	0.034	0.406	0.0	0.016	0.4	0.0	1.033	0.014	0.07	0.0	0.119	0.031	0.0	0.061	0.072	2.626	0.05	0.0	0.305	0.035	0.752	0.084	0.176	0.0	0.292	0.043	0.263	0.037	0.067	0.0	0.021	0.01	0.287	0.613	0.059	0.01	0.018	0.157	0.045	0.099	0.189	0.055	0.023	0.182	0.099	1.208	0.055	0.0	0.0	0.0	0.022	0.137	0.0	0.0	0.077	0.048	0.038	0.028	0.0	0.0	0.053	0.0	0.826	0.0	0.0	0.658	0.0	0.04	0.437	1.479	0.0	0.148	0.163	0.189	0.208	0.0	0.204	0.0	0.0	0.018	0.0	0.167	0.0	0.176	0.014	0.746	0.371	0.0	0.108	0.0	0.0	0.0	0.153	0.073	0.565	0.0	0.24	0.049	0.436	0.017	0.11	0.0	0.012	0.175	0.139	0.066	0.09	0.044	0.6	0.352	0.0	0.177	0.021	0.025	0.014	0.129	0.0	0.064	0.204	0.0	0.079	0.049	0.065	0.0	0.074	0.023	0.109	0.057	0.021	0.23	0.094	0.052	0.014	0.069	0.027	0.106	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-478	species	478	2716		0.0	0.018	0.0	0.0	0.0	0.032	0.0	0.0	0.2	0.0	0.023	0.76	0.0	0.0	0.017	0.0	0.0	0.16	0.0	0.55	0.043	0.014	0.0	0.05	0.062	0.0	0.0	0.0	0.341	0.138	0.0	0.026	0.019	0.805	0.021	0.0	0.067	0.076	0.0	0.115	0.15	0.0	0.0	0.005	0.0	0.017	0.221	0.0	0.0	0.055	0.025	0.03	0.033	0.189	0.248	0.012	0.066	0.0	0.604	0.0	0.0	0.046	0.014	0.0	0.046	0.0	0.0	0.046	0.0	0.102	0.028	0.0	0.017	0.0	0.0	0.199	0.0	0.0	0.27	0.0	0.054	0.0	0.094	0.0	0.148	0.147	0.021	0.012	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.141	0.0	1.243	0.233	0.0	0.0	0.0	0.0	0.0	0.122	0.024	0.206	0.0	0.345	0.115	0.056	0.0	0.11	0.036	0.0	0.143	0.013	0.099	0.015	0.0	0.052	0.453	0.0	0.095	0.0	0.0	0.0	0.046	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.053	0.151	0.0	0.0	0.01	0.008	0.044	0.041	0.02	0.018	0.035	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sputigena	species	151	2438		0.018	0.018	0.0	0.009	0.037	0.048	0.0	0.012	0.114	0.03	0.0	0.202	0.024	0.0	0.118	0.0	0.078	0.013	0.0	0.094	0.0	1.01	0.014	0.149	1.06	0.0	0.0	0.0	0.2	0.088	0.013	0.013	0.224	1.302	0.0	0.132	0.233	0.038	0.029	0.0	0.0	0.033	0.0	0.0	0.0	0.068	0.049	0.015	0.049	0.0	0.006	0.0	0.0	0.155	0.0	0.059	0.017	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.015	0.024	0.013	0.076	0.057	0.017	0.0	0.0	0.061	0.0	0.0	0.012	0.0	0.0	0.116	0.094	0.0	0.0	0.0	0.189	0.012	0.262	0.043	0.0	0.035	0.0	0.0	0.0	0.0	0.211	0.0	0.787	0.043	0.0	0.495	0.05	0.0	0.0	0.069	0.0	0.053	0.0	0.27	0.008	0.084	0.017	0.055	0.0	0.035	0.191	0.076	0.0	0.015	0.0	0.13	0.242	0.0	0.423	0.0	0.83	1.976	0.0	0.0	0.0	0.155	0.008	0.016	0.025	1.65	0.0	0.809	0.0	0.0	0.014	0.0	0.211	0.008	0.0	0.193	0.01	0.097	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118	2407		0.0	0.068	0.0	0.0	0.0	0.352	0.058	0.012	0.15	0.059	0.023	0.0	0.008	0.0	0.0	0.0	0.219	0.04	0.0	0.04	0.0	3.227	0.0	0.119	0.0	0.132	0.0	0.0	0.0	0.414	0.0	0.0	0.017	0.021	0.0	0.147	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.021	0.0	0.0	0.466	0.0	0.019	0.0	0.031	0.045	0.0	0.013	0.083	0.012	0.0	0.125	0.151	0.0	0.0	0.046	0.0	0.0	1.187	0.0	0.705	0.015	0.0	0.025	0.123	0.057	0.085	0.0	0.022	0.0	0.031	0.0	0.0	0.0	0.0	0.058	0.009	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.012	0.035	0.0	0.015	0.0	0.0	0.0	0.186	0.009	0.0	2.226	0.0	0.0	0.0	0.076	0.0	0.04	0.0	0.0	0.008	0.084	0.657	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.043	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.016	0.0	0.304	0.039	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;micraerophilus	species	843	2992		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.194	0.243	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.265	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.434	0.0	0.254	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.009	0.0	0.0	0.0	0.105	0.0	0.0	0.869	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.048	0.008	0.0	0.0	0.0	0.0	0.035	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;pneumosintes	species	736	2911		0.018	0.0	0.116	0.0	0.062	0.016	0.0	0.0	0.018	0.03	0.271	0.0	0.088	0.069	0.034	0.0	0.548	0.08	0.0	0.0	0.057	0.196	0.0	0.782	0.062	0.0	0.0	0.0	0.02	0.013	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.01	0.0	0.0	0.0	0.0	0.709	0.0	0.013	0.0	0.083	0.0	0.0	0.832	0.0	0.0	0.101	0.028	0.022	0.0	0.014	0.0	0.365	0.0	0.028	0.046	0.0	0.191	1.346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.054	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.233	0.0	0.0	0.0	0.089	0.0	0.0	0.0	0.141	0.0	0.083	0.0	0.078	0.0	1.104	0.0	0.007	0.031	0.0	0.047	0.0	0.0	0.016	0.014	0.0	0.027	0.054	0.0	0.032	2.624	0.083	0.0	0.0	0.782	0.0	0.0	0.0	0.0	0.088	1.471	0.0	0.0	0.043	1.77	0.0	0.095	0.283	1.194	0.023	0.0	0.0	0.014	0.014	0.042	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.015
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;micronuciformis	species	122	2411		0.0	0.246	1.305	0.079	0.0	0.096	0.043	0.0	0.915	0.548	0.18	0.093	0.0	0.5	1.15	0.189	0.376	1.159	0.031	1.086	0.243	0.281	0.684	0.258	0.0	0.0	0.172	0.156	0.461	0.978	0.0	0.318	0.116	0.688	0.126	0.0	0.067	0.076	0.275	1.035	0.187	0.083	0.019	0.005	0.0	1.114	1.055	0.088	0.136	0.202	0.006	0.166	1.243	1.541	0.193	0.632	0.546	2.05	2.315	1.106	0.0	0.229	0.081	0.286	0.685	0.0	0.423	2.267	0.12	1.92	0.569	0.2	0.391	0.132	0.022	0.551	0.046	0.276	1.364	0.0	0.027	0.83	2.189	0.0	0.801	0.798	0.883	0.115	0.0	0.239	0.037	0.773	0.497	2.586	0.333	0.07	1.004	0.0	0.352	0.474	0.0	0.216	0.05	0.0	0.0	0.351	0.415	0.911	0.0	0.18	0.123	0.493	0.303	0.344	0.327	0.0	0.826	1.141	0.859	0.06	0.491	0.269	0.171	0.0	0.15	0.021	0.025	0.0	0.866	0.289	0.859	0.702	0.0	0.173	0.27	0.043	0.0	0.245	1.589	0.411	0.668	0.105	0.565	0.062	0.2	0.511	0.805	0.742	0.353	0.108
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524	2750		0.161	0.399	3.129	0.273	0.123	1.088	0.533	0.568	1.73	2.52	0.383	0.124	0.272	6.449	3.94	0.531	1.785	6.46	0.751	6.33	7.016	0.589	3.777	0.158	1.169	0.951	1.178	1.124	7.577	7.499	0.0	2.278	0.786	2.52	4.329	2.977	0.966	4.808	1.258	3.909	2.68	1.248	0.13	0.021	0.31	6.331	2.135	0.265	0.029	1.338	0.447	0.754	5.802	4.96	0.826	1.698	2.994	0.039	4.907	9.209	0.0	0.917	0.719	4.052	1.598	0.547	0.028	5.335	1.969	14.891	2.484	0.855	1.361	0.872	0.326	6.469	0.753	2.453	2.857	0.16	0.081	5.982	2.915	0.096	4.558	2.493	4.037	2.054	0.029	2.462	0.59	8.482	3.708	17.017	2.106	1.842	4.842	1.39	2.113	3.183	0.334	1.608	0.0	0.055	2.435	1.221	0.622	5.718	0.213	7.46	1.364	3.786	1.703	3.71	7.719	0.277	5.162	2.459	4.328	0.555	2.708	4.336	0.624	0.486	2.005	1.262	0.717	0.028	4.138	1.687	4.594	6.772	0.056	1.356	1.733	0.217	1.954	3.341	5.317	2.655	4.531	1.446	5.56	0.585	2.429	2.169	4.193	3.862	4.011	0.69
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	2444	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (PTO).	0.842	4.033	12.2	0.76	1.379	1.656	0.593	3.352	2.943	1.956	0.63	2.28	0.543	10.547	3.974	0.754	2.566	2.299	2.192	5.154	9.95	0.407	6.314	0.976	0.85	0.806	0.347	0.658	2.945	1.266	0.149	7.466	2.333	0.868	2.204	1.086	6.785	3.078	2.711	4.191	3.988	7.559	0.51	3.525	1.577	4.356	4.847	0.768	1.831	12.426	5.446	8.211	7.885	8.098	5.175	7.496	1.595	3.561	1.123	4.921	0.375	2.093	1.851	7.23	1.556	2.401	13.581	3.228	6.86	3.718	0.436	2.699	5.576	1.981	0.863	4.032	2.56	17.53	4.732	1.934	2.1	5.258	7.522	0.028	6.951	8.706	11.073	4.154	0.111	0.775	0.49	8.15	4.672	15.063	3.897	1.726	7.043	4.361	2.166	4.808	3.491	4.412	0.873	8.149	27.838	1.499	8.802	2.979	0.138	1.201	4.866	2.583	7.667	2.58	7.798	0.084	8.473	3.245	13.07	1.163	10.713	2.535	5.456	1.196	1.555	2.026	1.864	1.283	12.786	2.681	13.532	2.878	2.268	0.196	8.818	0.412	7.31	11.061	8.095	12.072	4.058	5.465	9.684	1.986	3.481	7.456	5.05	12.422	2.242	7.551
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	2445	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (PTO).	0.072	0.132	1.555	0.263	0.026	0.114	0.19	0.061	0.005	0.0	0.001	0.0	0.0	0.103	0.0	0.0	0.016	0.014	0.0	0.0	0.016	0.0	0.014	0.021	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.026	0.141	0.0	0.0	0.015	0.0	0.0	0.014	0.0	0.0	0.001	0.003	1.032	0.0	0.0	0.003	0.031	0.011	0.018	0.007	0.016	0.001	0.005	0.0	0.012	0.0	0.014	0.0	0.057	0.044	0.0	0.001	0.022	0.047	0.0	0.088	0.257	0.051	0.0	0.019	0.579	0.019	0.0	0.103	0.031	0.02	0.016	0.037	0.0	0.081	0.0	0.052	0.0	0.01	0.016	0.0	0.132	0.015	0.009	0.0	0.0	0.035	0.021	0.062	0.0	0.0	0.0	0.0	0.009	0.0	0.048	0.056	5.118	0.303	0.008	0.049	0.135	0.053	0.0	0.008	0.014	0.137	0.028	0.092	0.0	0.016	0.0	0.018	0.0	0.011	0.035	0.0	0.0	0.014	0.0	0.0	0.028	0.008	0.066	0.091	0.009	0.0	0.001	0.037	0.044	0.023	0.042	0.008	0.056	0.029	0.0	0.0	0.0	0.009	0.015	0.011	0.009	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158	2443	Reads equidistant to HMT-158 and HMT-160 were assigned to each taxon in proportion to the abundance of HMT-158 and HMT-160 individually at this body site (PTO).	3.565	4.872	0.601	0.159	2.048	0.358	3.571	2.839	0.621	4.596	2.683	1.319	2.584	0.144	0.101	5.444	0.111	0.005	1.91	0.492	0.072	0.267	0.0	0.39	3.763	0.06	3.716	4.522	0.242	1.117	5.297	0.693	0.477	0.0	6.977	12.23	0.477	1.02	7.516	0.179	1.897	0.957	0.767	4.773	2.688	0.0	1.26	0.321	1.324	5.139	12.677	6.543	0.155	0.5	4.377	0.094	2.143	3.586	0.009	0.055	6.505	4.693	4.496	2.305	0.064	1.429	1.527	0.093	2.069	0.11	1.309	0.314	3.272	0.581	4.912	0.204	0.123	0.619	0.039	6.748	5.372	0.622	0.009	0.062	6.23	0.386	0.701	2.58	0.994	0.128	4.159	2.26	2.195	10.378	13.12	22.785	0.0	1.826	0.403	3.232	11.56	0.054	2.384	0.535	0.87	4.011	3.606	1.467	0.213	0.0	8.614	1.456	5.8	0.127	0.102	1.957	0.628	0.127	0.308	11.921	0.609	0.167	3.402	2.787	0.014	0.962	2.551	5.078	0.486	2.747	0.16	2.22	15.25	2.183	0.043	0.369	0.414	0.43	2.095	0.681	0.841	6.896	0.45	4.384	1.099	0.43	0.056	0.003	0.761	0.739
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780	2940		0.0	0.0	0.299	0.0	0.074	0.064	0.014	0.012	0.009	0.074	0.902	0.016	0.048	0.0	0.0	0.015	0.031	0.0	0.0	0.054	0.0	0.014	0.0	1.377	0.281	0.0	0.0	0.084	0.0	0.038	0.0	0.146	1.972	0.011	0.0	0.029	0.067	0.152	0.116	0.082	0.0	0.0	0.0	0.193	0.0	0.0	0.0	0.589	0.029	0.018	0.0	0.045	0.033	0.0	0.0	0.023	0.0	0.0	0.0	1.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.0	0.0	0.114	0.0	0.0	0.0	0.153	0.092	0.016	0.012	0.03	0.013	0.0	0.009	0.028	0.01	0.0	0.231	0.0	0.015	0.009	0.0	0.0	0.018	1.452	0.0	0.0	0.0	0.014	0.0	0.302	0.033	0.077	0.0	0.037	0.0	0.0	0.0	0.106	1.074	0.18	0.0	0.0	0.0	0.962	0.0	0.023	0.0	0.013	0.0	0.0	0.011	0.07	0.0	0.0	4.433	0.0	0.013	0.0	0.0	0.0	0.043	0.073	0.032	0.0	0.0	0.217	0.0	0.098	0.0	0.0	1.179	0.0	0.498	0.0	0.026	0.041	0.02	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;micra	species	111	2400		0.0	0.006	0.0	0.132	0.0	0.016	0.0	0.0	0.073	0.282	1.24	0.0	2.327	0.069	0.068	0.0	0.986	0.147	0.0	0.148	0.043	0.884	0.057	1.169	0.686	0.0	0.0	0.024	0.0	0.025	0.0	0.0	3.618	0.212	0.0	0.0	0.833	0.0	0.0	0.016	0.0	0.233	0.0	0.0	0.0	0.017	0.049	6.232	4.555	0.0	0.164	0.0	0.05	0.034	0.0	0.504	0.0	0.039	0.075	0.0	0.0	0.0	0.081	0.0	1.301	0.0	0.479	0.093	0.0	0.102	2.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	1.227	0.013	0.0	0.043	0.028	0.0	0.081	0.589	0.023	0.887	0.92	0.0	0.069	0.089	0.0	0.0	0.0	0.0	0.0	0.373	0.086	0.033	1.407	2.493	0.0	0.0	0.0	0.0	0.007	3.584	0.0	0.008	0.0	0.0	0.137	0.073	0.012	0.016	4.145	0.066	0.0	0.0	0.0	0.0	0.0	0.123	0.0	0.214	0.0	0.0	0.0	0.193	1.885	0.0	0.158	0.025	0.065	0.023	0.131	0.008	0.0	0.028	0.754	0.287	0.117	0.0	0.677	0.0	0.071	0.018	0.015
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-393	species	393	2666		0.0	0.0	0.083	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.384	0.0	0.0	0.0	0.0	0.045	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.01	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.506	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.063	0.0	0.109	0.0	0.0	0.038	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.018	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;gonidiaformans	species	860	3008		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.664	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
