Taxonomy	Rank	HMT	Notes	Max	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837		0.003	0.003	0.0	0.0	0.041	1.382
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844		0.014	0.014	0.0	0.0	0.179	1.382
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;diminuta	species	590		0.154	0.154	0.0	0.407	0.599	27.65
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT-002	species	002		0.113	0.113	0.0	0.302	0.42	16.129
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;broomeae	species	559		0.16	0.16	0.0	0.489	0.44	27.189
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;elkanii	species	597		0.014	0.014	0.0	0.0	0.119	2.765
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;anthropi	species	544		0.008	0.008	0.0	0.0	0.062	2.765
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium;tumefaciens	species	485		0.112	0.112	0.0	0.0	1.429	9.677
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter;missouriensis	species	316		0.01	0.01	0.0	0.0	0.096	2.304
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;yeei	species	104		0.119	0.119	0.0	0.254	0.533	29.032
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;gilardii	species	244		0.01	0.01	0.0	0.0	0.109	4.147
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;mucosa	species	245		0.059	0.059	0.0	0.0	0.459	7.373
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;tepidarius	species	007		0.068	0.068	0.0	0.0	0.787	7.373
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;humi	species	006		0.031	0.031	0.0	0.0	0.408	1.382
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;panipatense	species	342		0.045	0.045	0.0	0.032	0.236	11.06
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;glacialis	species	003		0.042	0.042	0.0	0.101	0.156	18.894
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;cepacia	species	571		0.025	0.025	0.0	0.0	0.141	6.452
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.132	0.132	0.0	0.298	0.581	20.737
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;pickettii	species	854		0.135	0.135	0.0	0.0	1.708	4.608
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		1.624	1.624	0.0	2.127	6.301	44.24
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209		0.246	0.246	0.0	0.349	1.474	20.737
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans	species	216	Some of the reads equidistant from these taxa (216-550-591) are included in HMT-216 because they are too close to differentiate at this site (RAF).	0.128	0.128	0.0	0.285	0.553	28.571
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni	species	858		0.02	0.02	0.0	0.0	0.125	5.53
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans	species	023		0.196	0.196	0.0	0.693	0.532	30.415
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;sp. HMT-025	species	025		0.025	0.025	0.0	0.0	0.149	5.069
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;paradoxus	species	717		0.022	0.022	0.0	0.0	0.178	7.373
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.028	0.028	0.0	0.0	0.151	7.834
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans	species	582		0.005	0.005	0.0	0.0	0.029	3.226
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.025	0.025	0.0	0.0	0.133	9.217
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;bacilliformis	species	013		0.013	0.013	0.0	0.0	0.177	1.382
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;elongata	species	598		0.052	0.052	0.0	0.072	0.242	15.207
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (RAF).	0.094	0.094	0.0	0.131	0.664	19.355
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;meningitidis	species	669	Some of the reads equidistant from these taxa (669-737-956) are included in HMT-669 because they are too close to differentiate at this site (RAF).	0.03	0.03	0.0	0.0	0.19	5.991
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa	species	682	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (RAF).	0.074	0.074	0.0	0.119	0.269	23.502
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.007	0.007	0.0	0.0	0.053	3.226
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sicca	species	764	Reads equidistant to HMT-682 and HMT-764 were assigned to each taxon in proportion to the abundance of HMT-682 and HMT-764 individually at this body site (RAF).	0.131	0.131	0.0	0.201	0.592	24.885
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (RAF).	0.228	0.228	0.0	0.287	1.195	33.18
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;weaveri	species	092		0.003	0.003	0.0	0.0	0.041	1.382
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-174	species	174		0.263	0.263	0.0	0.234	1.998	18.894
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-327	species	327		0.168	0.168	0.0	0.027	1.019	11.521
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		0.033	0.033	0.0	0.019	0.146	11.521
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae	species	763		0.052	0.052	0.0	0.0	0.583	6.452
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;pylori	species	812		0.101	0.101	0.0	0.0	1.259	1.382
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;cancerogenus	species	565	Reads equidistant to HMT-565 and HMT-634 were assigned to each taxon in proportion to the abundance of HMT-565 and HMT-634 individually at this body site (RAF).	0.009	0.009	0.0	0.003	0.044	11.06
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;hormaechei	species	634	Reads equidistant to HMT-565 and HMT-634 were assigned to each taxon in proportion to the abundance of HMT-565 and HMT-634 individually at this body site (RAF).	0.034	0.034	0.0	0.0	0.219	9.677
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;coli	species	574		0.026	0.026	0.0	0.074	0.074	23.963
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;aerogenes	species	153		0.005	0.005	0.0	0.0	0.061	2.304
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;pneumoniae	species	731		0.038	0.038	0.0	0.0	0.426	8.295
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;mirabilis	species	676		0.004	0.004	0.0	0.0	0.055	0.461
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus	species	851		0.071	0.071	0.0	0.218	0.235	29.954
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		0.255	0.255	0.0	0.243	1.691	39.631
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;johnsonii	species	297	Because HMT-824 is not present individually, all equidistant reads were assigned to HMT-297 at this body site (RAF).	0.079	0.079	0.0	0.099	0.387	28.571
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;junii	species	282		0.046	0.046	0.0	0.019	0.421	11.521
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;catarrhalis	species	833		0.007	0.007	0.0	0.0	0.083	2.765
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;nonliquefaciens	species	098		0.034	0.034	0.0	0.0	0.419	4.147
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;osloensis	species	711	Because HMT-196 is not present individually, all equidistant reads were assigned to HMT-711 at this body site (RAF).	0.047	0.047	0.0	0.051	0.257	17.512
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens	species	612		0.089	0.089	0.0	0.186	0.243	39.631
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;oleovorans	species	740		0.012	0.012	0.0	0.014	0.056	11.521
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;stutzeri	species	477		0.027	0.027	0.0	0.0	0.271	6.912
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663		0.082	0.082	0.0	0.07	0.387	13.825
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-346	species	346		0.009	0.009	0.0	0.0	0.075	1.843
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-348	species	348		0.003	0.003	0.0	0.0	0.022	2.765
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.009	0.009	0.0	0.0	0.05	6.912
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-231	species	231		0.01	0.01	0.0	0.0	0.114	1.382
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;fastidiosum	species	363		0.006	0.006	0.0	0.0	0.094	0.461
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-058	species	058	Neither HMT-058 nor HMT-707 were present singularly so these reads were split evenly at this site (RAF).	0.008	0.008	0.0	0.0	0.054	8.756
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-488	species	488	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (RAF).	0.007	0.007	0.0	0.0	0.077	6.912
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-957	species	957	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (RAF).	0.007	0.007	0.0	0.0	0.077	6.912
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus;clade-886	subspecies	886		0.019	0.019	0.0	0.019	0.088	11.06
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638	Reads equidistant to HMT-061 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-061 and HMT-638 individually at this body site (RAF).	0.693	0.693	0.0	1.988	1.429	66.82
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Because HMT-070 is not present individually, all equidistant reads were assigned to HMT-398 at this body site (RAF).	0.523	0.523	0.0	1.53	0.998	71.889
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Because HMT-411 is not present individually, all equidistant reads were assigned to HMT-721 at this body site (RAF).	0.234	0.234	0.0	0.558	0.777	38.71
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. oralis	subspecies	707	Neither HMT-058 nor HMT-707 were present singularly so these reads were split evenly at this site (RAF).	0.008	0.008	0.0	0.0	0.054	8.756
UNMATCHED				15.937	15.937	0.941	38.681	19.093	99.539
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus	species		combined from subspecies	0.019	0.019	0.0	0.019	0.088	11.06
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	0.693	0.693	0.0	1.988	1.429	66.82
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	0.532	0.532	0.0	1.556	1.007	72.35
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	0.234	0.234	0.0	0.558	0.777	38.71
