Taxonomy	Rank	HMT	Notes	Max	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.033	0.033	0.0	0.03	0.274	26.19
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.034	0.034	0.0	0.074	0.123	32.44
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.645	0.645	0.0	1.869	0.952	76.786
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-218	species	218		0.5	0.5	0.0	0.966	1.956	22.619
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-392	species	392		0.028	0.028	0.0	0.058	0.098	26.786
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417	Reads equidistant to HMT-222 and HMT-417 were assigned to each taxon in proportion to the abundance of HMT-222 and HMT-417 individually at this body site (THR).	2.849	2.849	0.021	7.78	4.364	91.667
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222	Reads equidistant to HMT-222 and HMT-417 were assigned to each taxon in proportion to the abundance of HMT-222 and HMT-417 individually at this body site (THR).	0.023	0.023	0.0	0.04	0.123	42.857
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;goodfellowii	species	845		0.002	0.002	0.0	0.0	0.017	5.06
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.759	0.759	0.0	2.058	1.718	64.881
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844		0.047	0.047	0.0	0.0	0.845	1.786
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT-002	species	002		0.007	0.007	0.0	0.0	0.057	5.06
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;humi	species	006		0.029	0.029	0.0	0.0	0.208	7.143
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;glacialis	species	003		0.004	0.004	0.0	0.0	0.031	4.762
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		0.181	0.181	0.0	0.426	0.646	55.952
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.062	0.062	0.0	0.038	0.68	16.369
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209		0.009	0.009	0.0	0.007	0.049	10.417
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans	species	216	Some of the reads equidistant from these taxa (216-550-591) are included in HMT-216 because they are too close to differentiate at this site (THR).	0.022	0.022	0.0	0.026	0.128	15.476
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans	species	023		0.025	0.025	0.0	0.05	0.105	16.964
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;sp. HMT-025	species	025		0.009	0.009	0.0	0.0	0.082	5.06
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;sp. HMT-894	species	894		0.008	0.008	0.0	0.0	0.112	4.762
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.067	0.067	0.0	0.144	0.216	41.369
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans	species	582		0.007	0.007	0.0	0.004	0.036	10.119
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.033	0.033	0.0	0.056	0.164	27.083
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-459	species	459		0.082	0.082	0.0	0.025	1.273	16.369
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;bacilliformis	species	013		0.018	0.018	0.0	0.0	0.271	5.06
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;elongata	species	598		0.057	0.057	0.0	0.088	0.304	33.036
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (THR).	1.405	1.405	0.0	4.078	3.411	80.655
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;meningitidis	species	669	Reads equidistant to HMT-669 and HMT-737 were assigned to each taxon in proportion to the abundance of HMT-669 and HMT-737 individually at this body site (THR).;Some of the reads equidistant from these taxa (669-737-956) are included in HMT-669 because they are too close to differentiate at this site (THR).	1.017	1.017	0.0	0.086	7.99	19.94
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa	species	682	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (THR).;Some of the reads equidistant from these taxa (101-476-682) are included in HMT-682 because they are too close to differentiate at this site (THR).	0.304	0.304	0.0	0.646	0.995	71.131
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.024	0.024	0.0	0.046	0.092	19.643
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;polysaccharea	species	737	Reads equidistant to HMT-669 and HMT-737 were assigned to each taxon in proportion to the abundance of HMT-669 and HMT-737 individually at this body site (THR).;Some of the reads equidistant from these taxa (669-737-956) are included in HMT-737 because they are too close to differentiate at this site (THR).	0.047	0.047	0.0	0.006	0.459	18.452
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sicca	species	764	Reads equidistant to HMT-682 and HMT-764 were assigned to each taxon in proportion to the abundance of HMT-682 and HMT-764 individually at this body site (THR).	0.093	0.093	0.0	0.189	0.321	45.833
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (THR).;Some of the reads equidistant from these taxa (101-476-682) are included in HMT-476 because they are too close to differentiate at this site (THR).	4.352	4.352	0.046	13.139	6.92	95.238
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-327	species	327		0.002	0.002	0.0	0.0	0.027	0.595
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella;muelleri	species	683		0.003	0.003	0.0	0.0	0.022	5.357
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		2.19	2.19	0.272	4.794	2.078	97.321
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;gracilis	species	623		0.065	0.065	0.0	0.025	0.848	15.774
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;rectus	species	748		0.008	0.008	0.0	0.0	0.07	5.655
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae	species	763		0.19	0.19	0.0	0.382	0.643	52.083
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp. HMT-044	species	044		0.077	0.077	0.0	0.234	0.189	39.286
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842		0.006	0.006	0.0	0.0	0.118	0.595
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;pneumoniae	species	731		0.104	0.104	0.0	0.0	1.865	3.274
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus	species	545		0.009	0.009	0.0	0.0	0.108	8.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus	species	851	Reads equidistant to HMT-734 and HMT-851 were assigned to each taxon in proportion to the abundance of HMT-734 and HMT-851 individually at this body site (THR).	0.16	0.16	0.0	0.182	0.906	53.869
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;influenzae	species	641		0.331	0.331	0.0	0.008	4.517	10.714
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus	species	945		0.116	0.116	0.0	0.186	0.519	38.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		1.004	1.004	0.046	2.776	1.318	96.429
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	035		0.019	0.019	0.0	0.02	0.142	14.583
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sputorum	species	944		0.046	0.046	0.0	0.078	0.171	34.821
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;junii	species	282		0.003	0.003	0.0	0.0	0.044	2.381
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;catarrhalis	species	833		0.266	0.266	0.0	0.0	2.73	3.571
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;nonliquefaciens	species	098		0.197	0.197	0.0	0.0	2.601	4.464
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-346	species	346		0.024	0.024	0.0	0.032	0.157	18.75
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-348	species	348		0.004	0.004	0.0	0.0	0.018	9.524
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-349	species	349		0.009	0.009	0.0	0.0	0.105	7.738
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-352	species	352		1.054	1.054	0.0	2.49	1.517	88.393
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-351	species	351		0.195	0.195	0.0	0.477	0.241	78.571
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.194	0.194	0.0	0.596	0.401	59.821
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-356	species	356		0.003	0.003	0.0	0.0	0.024	3.274
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;lecithinolyticum	species	653		0.015	0.015	0.0	0.009	0.114	10.417
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;medium	species	667	Reads equidistant to HMT-231 and HMT-667 were assigned to each taxon in proportion to the abundance of HMT-231 and HMT-667 individually at this body site (THR).	0.026	0.026	0.0	0.072	0.082	30.06
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-231	species	231	Reads equidistant to HMT-231 and HMT-667 were assigned to each taxon in proportion to the abundance of HMT-231 and HMT-667 individually at this body site (THR).	0.046	0.046	0.0	0.094	0.208	30.357
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-237	species	237		0.022	0.022	0.0	0.025	0.106	14.881
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp. HMT-359	species	359		0.006	0.006	0.0	0.0	0.043	7.738
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp. HMT-360	species	360		0.007	0.007	0.0	0.0	0.04	5.655
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;faucium	species	606		0.012	0.012	0.0	0.0	0.081	6.548
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;orale	species	704		0.005	0.005	0.0	0.0	0.033	7.44
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;salivarium	species	754		0.013	0.013	0.0	0.016	0.07	12.5
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;capitis	species	116	Neither HMT-116 nor HMT-567 were present singularly so these reads were split evenly at this site (THR).	0.005	0.005	0.0	0.0	0.038	6.25
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;caprae	species	567	Neither HMT-116 nor HMT-567 were present singularly so these reads were split evenly at this site (THR).	0.005	0.005	0.0	0.0	0.038	6.25
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus;clade-886	subspecies	886	Because HMT-578 is not present individually, all equidistant reads were assigned to HMT-886 at this body site (THR).	0.057	0.057	0.0	0.116	0.263	43.75
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-431	subspecies	431	Reads equidistant to HMT-431 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-431 and HMT-638 individually at this body site (THR).;Some of the reads equidistant from these taxa (058-071-073-398-423-431-638-677-734) are included in HMT-431 because they are too close to differentiate at this site (THR).	0.028	0.028	0.001	0.04	0.11	94.345
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638	Reads equidistant to HMT-431 and HMT-638 were assigned to each taxon in proportion to the abundance of HMT-431 and HMT-638 individually at this body site (THR).;Some of the reads equidistant from these taxa (058-071-073-398-423-431-638-677-734) are included in HMT-638 because they are too close to differentiate at this site (THR).	2.827	2.827	0.548	5.377	2.455	99.405
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Reads equidistant to HMT-398 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-398 and HMT-677 individually at this body site (THR).;Some of the reads equidistant from these taxa (058-071-073-398-423-431-638-677-734) are included in HMT-398 because they are too close to differentiate at this site (THR).;Some of the reads equidistant from these taxa (058-398-677) are included in HMT-398 because they are too close to differentiate at this site (THR).	0.839	0.839	0.04	1.938	1.59	96.726
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-411	subspecies	411	Reads equidistant to HMT-411 and HMT-721 were assigned to each taxon in proportion to the abundance of HMT-411 and HMT-721 individually at this body site (THR).	0.143	0.143	0.0	0.278	0.4	83.929
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Reads equidistant to HMT-411 and HMT-721 were assigned to each taxon in proportion to the abundance of HMT-411 and HMT-721 individually at this body site (THR).	2.675	2.675	0.115	5.914	2.675	95.536
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii;subsps. yurii&margaretiae	subspecies	377		0.005	0.005	0.0	0.0	0.036	8.929
UNMATCHED				2.242	2.242	0.288	4.06	5.064	99.405
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus	species		combined from subspecies	0.057	0.057	0.0	0.116	0.263	43.75
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	2.855	2.855	0.558	5.518	2.473	99.405
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	0.839	0.839	0.04	1.938	1.59	96.726
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	2.818	2.818	0.118	6.4	2.801	95.536
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii	species		combined from subspecies	0.005	0.005	0.0	0.0	0.036	8.929
