Taxonomy	Rank	HMT	Notes	Max	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae	species	763		0.3	0.3	0.0	0.794	0.587	73.333
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp. HMT-044	species	044		0.067	0.067	0.0	0.172	0.175	41.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp. HMT-458	species	458		0.009	0.009	0.0	0.014	0.046	13.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus	species	851		0.129	0.129	0.0	0.215	0.423	52.667
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus	species	945		0.158	0.158	0.0	0.355	0.529	44.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		1.158	1.158	0.021	3.214	1.915	93.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	035		0.017	0.017	0.0	0.017	0.079	14.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663		0.003	0.003	0.0	0.0	0.032	1.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-346	species	346		0.108	0.108	0.0	0.033	0.719	22.0
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-347	species	347		0.034	0.034	0.0	0.001	0.371	10.0
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-349	species	349		0.012	0.012	0.0	0.019	0.047	15.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-352	species	352		1.046	1.046	0.0	2.544	1.668	89.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-351	species	351		0.221	0.221	0.007	0.608	0.293	90.0
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.228	0.228	0.0	0.658	0.505	66.667
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-356	species	356		0.004	0.004	0.0	0.0	0.022	6.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;denticola	species	584		0.154	0.154	0.0	0.103	0.78	31.333
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;lecithinolyticum	species	653		0.043	0.043	0.0	0.035	0.177	22.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;medium	species	667	Reads equidistant to HMT-231 and HMT-667 were assigned to each taxon in proportion to the abundance of HMT-231 and HMT-667 individually at this body site (PTO).	0.015	0.015	0.0	0.035	0.045	34.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;socranskii	species	769		0.051	0.051	0.0	0.125	0.135	42.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-230	species	230		0.023	0.023	0.0	0.021	0.115	14.667
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-231	species	231	Because HMT-029 is not present individually, all equidistant reads were assigned to HMT-231 at this body site (PTO).	0.143	0.143	0.0	0.377	0.341	62.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-236	species	236		0.011	0.011	0.0	0.001	0.061	10.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-237	species	237		0.122	0.122	0.0	0.23	0.531	32.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-262	species	262		0.036	0.036	0.0	0.054	0.132	19.333
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;fastidiosum	species	363		0.019	0.019	0.0	0.038	0.073	21.333
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp. HMT-359	species	359		0.018	0.018	0.0	0.033	0.084	14.0
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp. HMT-360	species	360	Because HMT-358 is not present individually, all equidistant reads were assigned to HMT-360 at this body site (PTO).	0.014	0.014	0.0	0.021	0.072	17.333
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1];Mollicutes [O1 F1 G1];bacterium HMT-504	species	504		0.006	0.006	0.0	0.0	0.051	3.333
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;faucium	species	606		0.041	0.041	0.0	0.026	0.196	14.0
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;orale	species	704		0.004	0.004	0.0	0.015	0.017	14.667
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;salivarium	species	754		0.095	0.095	0.0	0.132	0.399	32.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;macacae	species	099	Neither HMT-099 nor HMT-682 were present singularly so these reads were split evenly at this site (PTO).	0.03	0.03	0.0	0.055	0.121	40.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa	species	682	Reads equidistant to HMT-476 and HMT-682 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-682 individually at this body site (PTO).	0.03	0.03	0.0	0.055	0.121	40.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus	species	545	Neither HMT-545 nor HMT-720 were present singularly so these reads were split evenly at this site (PTO).	0.05	0.05	0.0	0.0	0.5	10.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;paraphrophilus	species	720	Neither HMT-545 nor HMT-720 were present singularly so these reads were split evenly at this site (PTO).	0.05	0.05	0.0	0.0	0.5	10.0
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-488	species	488	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (PTO).	0.005	0.005	0.0	0.015	0.016	25.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-957	species	957	Neither HMT-488 nor HMT-957 were present singularly so these reads were split evenly at this site (PTO).	0.005	0.005	0.0	0.015	0.016	25.333
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans	species	216	HMTs216-550-591 were not present singularly so these reads were split evenly at this body site (PTO)	0.002	0.002	0.0	0.003	0.008	11.333
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;aureus	species	550	HMTs216-550-591 were not present singularly so these reads were split evenly at this body site (PTO)	0.002	0.002	0.0	0.003	0.008	11.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;diphtheriae	species	591	HMTs216-550-591 were not present singularly so these reads were split evenly at this body site (PTO)	0.002	0.002	0.0	0.003	0.008	11.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638	Because HMT-431 is not present individually, all equidistant reads were assigned to HMT-638 at this body site (PTO).	2.894	2.894	0.697	5.2	2.647	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Reads equidistant to HMT-073 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-073 and HMT-398 individually at this body site (PTO).;Some of the reads equidistant from these taxa (398-677-734) are included in HMT-398 because they are too close to differentiate at this site (PTO).	0.654	0.654	0.054	1.472	1.109	99.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-411	subspecies	411	Reads equidistant to HMT-411 and HMT-721 were assigned to each taxon in proportion to the abundance of HMT-411 and HMT-721 individually at this body site (PTO).	0.098	0.098	0.0	0.154	0.302	74.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Because HMT-057 is not present individually, all equidistant reads were assigned to HMT-721 at this body site (PTO).	2.418	2.418	0.174	5.699	2.291	98.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii;subsps. yurii&margaretiae	subspecies	377		0.01	0.01	0.0	0.015	0.042	16.667
UNMATCHED				2.513	2.513	0.54	4.245	2.903	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	2.894	2.894	0.697	5.2	2.647	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	0.654	0.654	0.054	1.472	1.109	99.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	2.516	2.516	0.174	5.776	2.443	98.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii	species		combined from subspecies	0.01	0.01	0.0	0.015	0.042	16.667
