Taxonomy	Rank	HMT	Notes	Max	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.582	0.582	0.086	1.213	0.63	96.689
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans	species	582		0.198	0.198	0.0	0.416	0.596	36.424
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		1.111	1.111	0.049	2.571	1.656	95.364
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-012	species	012		0.026	0.026	0.0	0.0	0.172	6.623
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;bacilliformis	species	013		0.082	0.082	0.0	0.195	0.26	27.815
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea	species	956	Some of the reads equidistant from these taxa (669-737-956) are included in HMT-956 because they are too close to differentiate at this site (SUBP).	0.026	0.026	0.0	0.021	0.164	14.57
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;elongata	species	598		1.575	1.575	0.0	4.072	2.361	88.079
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;mucosa	species	682	Reads equidistant to HMT-682 and HMT-764 were assigned to each taxon in proportion to the abundance of HMT-682 and HMT-764 individually at this body site (SUBP).;Some of the reads equidistant from these taxa (099-682-764) are included in HMT-682 because they are too close to differentiate at this site (SUBP).	1.946	1.946	0.0	5.572	4.176	86.093
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.512	0.512	0.0	0.776	2.743	37.086
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sicca	species	764	Reads equidistant to HMT-682 and HMT-764 were assigned to each taxon in proportion to the abundance of HMT-682 and HMT-764 individually at this body site (SUBP).;Some of the reads equidistant from these taxa (099-682-764) are included in HMT-764 because they are too close to differentiate at this site (SUBP).	1.686	1.686	0.0	4.553	4.113	78.146
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp. HMT-018	species	018		0.149	0.149	0.0	0.18	0.69	22.517
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp. HMT-020	species	020		0.023	0.023	0.0	0.0	0.227	2.649
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp. HMT-499	species	499		0.011	0.011	0.0	0.0	0.07	5.298
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Because HMT-101 is not present individually, all equidistant reads were assigned to HMT-476 at this body site (SUBP).	0.444	0.444	0.0	1.088	1.26	76.159
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		0.378	0.378	0.0	1.07	0.661	87.417
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;curvus	species	580		0.007	0.007	0.0	0.0	0.034	8.609
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;gracilis	species	623		1.283	1.283	0.047	3.124	1.435	93.377
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;showae	species	763		0.813	0.813	0.02	2.335	1.157	92.715
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;sp. HMT-044	species	044		0.012	0.012	0.0	0.0	0.101	6.623
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;hominis	species	633		0.164	0.164	0.0	0.462	0.272	76.821
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;valvarum	species	540		0.037	0.037	0.0	0.078	0.091	46.358
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus	species	545		0.128	0.128	0.0	0.243	0.427	45.033
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;segnis	species	762		0.05	0.05	0.0	0.148	0.118	45.695
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus	species	851		0.046	0.046	0.0	0.086	0.144	39.735
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		0.757	0.757	0.0	1.727	1.653	86.755
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	035		0.018	0.018	0.0	0.025	0.113	19.205
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-346	species	346		0.588	0.588	0.0	1.713	1.157	69.536
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-347	species	347		0.659	0.659	0.0	0.961	2.589	62.252
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-348	species	348		0.235	0.235	0.0	0.878	0.535	41.722
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-349	species	349		0.279	0.279	0.0	0.535	0.798	41.722
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-352	species	352		0.046	0.046	0.0	0.015	0.364	18.543
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-488	species	488	Because HMT-957 is not present individually, all equidistant reads were assigned to HMT-488 at this body site (SUBP).	0.382	0.382	0.0	1.013	0.76	80.132
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-869	species	869		0.091	0.091	0.0	0.122	0.397	35.099
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-350	species	350		0.021	0.021	0.0	0.018	0.136	11.258
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-351	species	351		0.088	0.088	0.0	0.13	0.297	41.722
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-355	species	355		0.021	0.021	0.0	0.037	0.075	15.232
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.058	0.058	0.0	0.108	0.184	31.126
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-955	species	955		0.047	0.047	0.0	0.148	0.158	26.49
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-356	species	356		0.148	0.148	0.0	0.099	0.805	18.543
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;denticola	species	584		0.129	0.129	0.0	0.259	0.474	27.815
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;lecithinolyticum	species	653		0.082	0.082	0.0	0.227	0.24	28.477
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;maltophilum	species	664		0.058	0.058	0.0	0.145	0.15	44.371
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;socranskii	species	769		0.323	0.323	0.0	0.967	0.602	61.589
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-230	species	230		0.016	0.016	0.0	0.019	0.062	14.57
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-231	species	231		0.255	0.255	0.0	0.811	0.507	57.616
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-237	species	237		0.157	0.157	0.0	0.36	0.493	33.113
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-268	species	268		0.037	0.037	0.0	0.073	0.124	23.179
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-270	species	270		0.021	0.021	0.0	0.0	0.183	5.298
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;vincentii	species	029		0.013	0.013	0.0	0.018	0.077	14.57
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;fastidiosum	species	363		0.039	0.039	0.0	0.153	0.1	31.126
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp. HMT-359	species	359		0.029	0.029	0.0	0.01	0.117	11.258
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp. HMT-360	species	360		0.144	0.144	0.0	0.375	0.41	37.748
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;faucium	species	606		0.018	0.018	0.0	0.0	0.102	5.298
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;salivarium	species	754		0.026	0.026	0.0	0.048	0.098	25.166
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-058	species	058	Reads equidistant to HMT-058 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-058 and HMT-398 individually at this body site (SUBP).;Some of the reads equidistant from these taxa (058-398-677-707) are included in HMT-058 because they are too close to differentiate at this site (SUBP).	0.049	0.049	0.0	0.055	0.194	39.735
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus;clade-886	subspecies	886	Because HMT-578 is not present individually, all equidistant reads were assigned to HMT-886 at this body site (SUBP).	0.292	0.292	0.0	0.79	0.443	81.457
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638		0.122	0.122	0.0	0.3	0.284	76.159
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Because HMT-734 is not present individually, all equidistant reads were assigned to HMT-398 at this body site (SUBP).;Some of the reads equidistant from these taxa (058-398-677-707) are included in HMT-398 because they are too close to differentiate at this site (SUBP).;Some of the reads equidistant from these taxa (071-398-758) are included in HMT-398 because they are too close to differentiate at this site (SUBP).;Some of the reads equidistant from these taxa (071-398-707) are included in HMT-398 because they are too close to differentiate at this site (SUBP).	5.95	5.95	1.149	11.621	5.513	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. tigurinus clade-071	subspecies	071	Reads equidistant to HMT-071 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-071 and HMT-398 individually at this body site (SUBP).;Some of the reads equidistant from these taxa (071-398-758) are included in HMT-071 because they are too close to differentiate at this site (SUBP).;Some of the reads equidistant from these taxa (071-398-707) are included in HMT-071 because they are too close to differentiate at this site (SUBP).	0.094	0.094	0.0	0.24	0.163	81.457
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Because HMT-411 is not present individually, all equidistant reads were assigned to HMT-721 at this body site (SUBP).	0.074	0.074	0.0	0.109	0.285	48.344
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii;subsps. yurii&margaretiae	subspecies	377		0.225	0.225	0.0	0.702	0.341	72.848
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. oralis	subspecies	707	Neither HMT-058 nor HMT-707 were present singularly so these reads were split evenly at this site (SUBP).;Some of the reads equidistant from these taxa (058-398-677-707) are included in HMT-707 because they are too close to differentiate at this site (SUBP).;Some of the reads equidistant from these taxa (071-398-707) are included in HMT-707 because they are too close to differentiate at this site (SUBP).	0.049	0.049	0.0	0.055	0.194	39.735
UNMATCHED				2.858	2.858	0.559	5.688	2.495	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus	species		combined from subspecies	0.292	0.292	0.0	0.79	0.443	81.457
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	0.122	0.122	0.0	0.3	0.284	76.159
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	6.0	6.0	1.149	11.621	5.518	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	0.074	0.074	0.0	0.109	0.285	48.344
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii	species		combined from subspecies	0.225	0.225	0.0	0.702	0.341	72.848
