Taxonomy	Rank	HMT	Notes	Max	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-355	species	355		0.006	0.006	0.0	0.0	0.037	9.272
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-870	species	870		0.091	0.091	0.0	0.277	0.248	36.424
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-955	species	955		0.031	0.031	0.0	0.065	0.102	20.53
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1];bacterium HMT-356	species	356		0.046	0.046	0.0	0.014	0.271	12.583
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;socranskii	species	769		0.077	0.077	0.0	0.239	0.201	41.06
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-231	species	231	Because HMT-029 is not present individually, all equidistant reads were assigned to HMT-231 at this body site (SUPP).	0.077	0.077	0.0	0.261	0.215	37.748
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-237	species	237		0.024	0.024	0.0	0.053	0.096	17.881
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-268	species	268		0.013	0.013	0.0	0.009	0.081	11.258
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium;sp. HMT-360	species	360		0.023	0.023	0.0	0.05	0.077	17.881
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1];Mollicutes [O1 F1 G1];bacterium HMT-504	species	504		0.029	0.029	0.0	0.0	0.35	1.987
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;faucium	species	606		0.006	0.006	0.0	0.0	0.063	2.649
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma;salivarium	species	754		0.007	0.007	0.0	0.0	0.036	9.934
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;meningitidis	species	669	HMTs669-737-956 were not present singularly so these reads were split evenly at this body site (SUPP)	0.005	0.005	0.0	0.007	0.022	19.205
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;polysaccharea	species	737	HMTs669-737-956 were not present singularly so these reads were split evenly at this body site (SUPP)	0.005	0.005	0.0	0.007	0.022	19.205
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea	species	956	HMTs669-737-956 were not present singularly so these reads were split evenly at this body site (SUPP)	0.005	0.005	0.0	0.007	0.022	19.205
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans	species	216	HMTs216-550-591 were not present singularly so these reads were split evenly at this body site (SUPP)	0.0	0.0	0.0	0.0	0.003	1.987
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;aureus	species	550	HMTs216-550-591 were not present singularly so these reads were split evenly at this body site (SUPP)	0.0	0.0	0.0	0.0	0.003	1.987
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;diphtheriae	species	591	HMTs216-550-591 were not present singularly so these reads were split evenly at this body site (SUPP)	0.0	0.0	0.0	0.0	0.003	1.987
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus;clade-886	subspecies	886	Because HMT-578 is not present individually, all equidistant reads were assigned to HMT-886 at this body site (SUPP).	0.459	0.459	0.0	1.284	0.732	84.106
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis;clade-638	subspecies	638		0.107	0.107	0.0	0.275	0.209	83.444
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398	Reads equidistant to HMT-398 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-398 and HMT-677 individually at this body site (SUPP).;Some of the reads equidistant from these taxa (071-398-707) are included in HMT-398 because they are too close to differentiate at this site (SUPP).;Some of the reads equidistant from these taxa (058-398-677-707) are included in HMT-398 because they are too close to differentiate at this site (SUPP).	7.866	7.866	2.088	14.782	5.565	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. tigurinus clade-071	subspecies	071	Reads equidistant to HMT-071 and HMT-398 were assigned to each taxon in proportion to the abundance of HMT-071 and HMT-398 individually at this body site (SUPP).;Some of the reads equidistant from these taxa (071-398-707) are included in HMT-071 because they are too close to differentiate at this site (SUPP).	0.231	0.231	0.012	0.508	0.279	96.026
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis;clade-721	subspecies	721	Because HMT-411 is not present individually, all equidistant reads were assigned to HMT-721 at this body site (SUPP).	0.06	0.06	0.0	0.151	0.166	52.98
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii;subsps. yurii&margaretiae	subspecies	377		0.126	0.126	0.0	0.351	0.223	70.199
UNMATCHED				4.713	4.713	1.01	8.95	2.965	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;cristatus	species		combined from subspecies	0.459	0.459	0.0	1.284	0.732	84.106
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantis	species		combined from subspecies	0.107	0.107	0.0	0.275	0.209	83.444
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	7.866	7.866	2.088	14.782	5.565	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;parasanguinis	species		combined from subspecies	0.06	0.06	0.0	0.151	0.166	52.98
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"];yurii	species		combined from subspecies	0.126	0.126	0.0	0.351	0.223	70.199
