Assembly,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_001504235.1,,"Erill,I., Caruso,S.M., Adenikinju,A., Ahn,C., Akamune,J., Alsulaihat,A., Ampofo,R., Ashraf,N., Atta-Dakwa,V., Awan,M., Bah,A., Bahari,A., Ballard,A., Boodhoo,D., Boyd,G., Canapp,S., Cerezo,M., Chang,M.S., Cheung,K., Chong,J., Chopra,S., Chua,G., Cleveland,A., Combs,A., Cordova,S., Devine,C., Devine,A., Dilosa,N., Dimercurio,D., Dutt,K., Dutterer,J., Ebage,C., Echari,B., Eidizadeh,A., Fastman,B., Francis,F., Fuller,E., Gao,J., Gessler,J., Graham,P., Graham-Yooll,K., Gray,Z., Hamedooni,A.F., Harandi,A., Hartig,R., Hon,L., Hoyos,S., James,D., Jardel,H., Javier,J., Jones,M., Jones-Dove,A., Joshi,M., Karamsetty,M., Kattar,N., Kaur,P., Kawecki-Wright,E., Ketema,P., Khalid,O., Kim,A., Kim,J.Y., Klein,E., Kulp,M., Lana,O., Lee,C., Lee,J., Lewis,V., Liao,K., Loeliger,B., Malik,S., Mclain,H., Meksap,A., Mensah,N.A., Mian,H., Michael,A., Mims,S., Norton,J., Okeke,E., Olorunsola,O., Ortega,J., Orubele,S., Pandher,A., Park,K., Pascual,C., Patel,D., Patel,M., Patel,S., Porter,J., Poturalski,E., Prakash,B., Prasad,P., Pulliam,N., Rangos,N., Realo,I., Reed,K., Rodriguez,C., Ruthenberg,K., Saed,K., Samba,A., Savage,A., Saxena,S., Schoen,J., Searson,D., Seong,K., Shah,S., Shonk,J., Siddiqui,S., Snyder,S., Sohn,E., Spaeth,L., Stalnaker,K., Suh,H., Tran,P., Tran,K., Truong,C., Udquim,K.-I., Vahora,M., Way,M., Wise,D., Wood,R., Wunderlin,G., Yanamaddi,R., Yousufi,H., Zhang,A., Zheng,F., Beury,D., Cao,L., Correa,M.A.R.G.A.R., Hamdoun,S., Kilic,S., Nelson,C., Nunn,R., Cresawn,S.G., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F., Louise,T., Lewis,L., Johnson,A.",2016-01-07T02:14:53.740Z,Bacillus virus TsarBomba,Tsarbombavirus,Herelleviridae,dsDNA,RefSeq,,1,Russia: Saratov,,Bacillus thuringiensis serovar kurstaki,,2014-04-25,,ViralProj307914
GCF_001504215.1,,"Merrill,B.D., Berg,J.A., Graves,K.A., Ward,A.T., Hilton,J.A., Wake,B.N., Grose,J.H., Breakwell,D.P., Burnett,S.H., Wienclaw,T.M., Kruger,J.L., Bairett,S.R., Ingersoll,K., Grossarth,S.E., Ransom,E.K., Harbaugh,K., Jensen,G.L., Ashcroft,C.R., Taylor,A.S., Schoenhals,J.E., Esplin,I.D., Bradley,K.W., Clarke,D.Q., Lewis,M.F., Barker,L.P., Bailey,C.P., Asai,D.J., Garber,M.B., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:14:47.983Z,Brevibacillus virus Jenst,Jenstvirus,Siphoviridae,dsDNA,RefSeq,,1,USA,,Brevibacillus laterosporus,,2013-09-20,,ViralProj307910
GCF_001504195.1,,"Hadik,A.H., Balog,S.J., Cox,A.R., Voelcker,B., Serrano,M.G., Buck,G., Lee,V., Wang,Y., Carvalho,R., Voegtly,L., Shi,R., Duckworth,R., Johnson,A., Loviza,R., Walstead,R., Shah,Z., Kiflezghi,M., Wade,K., Delesalle,V.A., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:14:34.073Z,Mycobacterium phage Dante,Cheoctovirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Providence, RI",RI,Mycolicibacterium smegmatis MC2 155,,2011-10-01,,ViralProj307906
GCF_001504175.1,,"Grainger,J., DeVore,E.B., Chandler,S., Shaffer,C.D., Hafer-Weston,K.A., Elgin,S.C.R., Page,S.T., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:14:04.367Z,Mycobacterium phage Rufus,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: St. Louis, MO",MO,Mycolicibacterium smegmatis MC2 155,,2011-09-11,,ViralProj307902
GCF_001504155.1,,"Ntshalintshall,L., Reedoy,K., Ramruthan,J., Borthwick,M., Moodley,O.R., Larsen,M.H., Russell,D.H., Bowman,C.A., Pope,W.A., Mavrich,T.H., Guerrero,C.N., Jacobs-Sera,D.A., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:13:43.180Z,Mycobacterium phage Lolly9,Bronvirus,Siphoviridae,dsDNA,RefSeq,,,South Africa: Durban,,Mycolicibacterium smegmatis MC2 155,,2013-07-01,,ViralProj307898
GCF_001504135.1,,"Honono,X., Tshabalala,N., Mkhize,Z., Zwane,T., Larsen,M.H., Russell,D.A., Bowman,C.A., Pope,W.H., Mavrich,T.N., Guerrero,C.A., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:13:14.120Z,Mycobacterium phage XFactor,Cheoctovirus,Siphoviridae,dsDNA,RefSeq,,,"South Africa: Westville campus, UKZN,Durban",,Mycolicibacterium smegmatis MC2 155,,2014-07-01,,ViralProj307894
GCF_001504115.1,,"Pan,X., Cui,X., Zhang,F., He,Y., Li,L., Yang,H.",2016-01-07T02:12:44.100Z,Pseudomonas phage K8,Pakpunavirus,Myoviridae,dsDNA,RefSeq,,1,China,,Pseudomonas aeruginosa PAK,,,,ViralProj307890
GCF_001504055.1,,"Mercanti,D.J., Rousseau,G.M., Capra,M.L., Quiberoni,A., Tremblay,D.M., Labrie,S.J., Moineau,S.",2016-01-07T02:12:13.847Z,Lactobacillus phage iA2,,Siphoviridae,dsDNA,RefSeq,,1,,,Lactobacillus paracasei,,,,ViralProj307878
GCF_001504075.1,,"Kornyenko,M.A., Ilyina,E.N.",2016-01-07T02:11:43.763Z,Staphylococcus phage StB20-like,,Siphoviridae,dsDNA,RefSeq,,,,,Staphylococcus epidermidis 36-1,,,,ViralProj307882
GCF_001504035.1,,"Esposito,D., Schmidt,B.J., Bloom,F.R., Christie,G.E.",2016-01-07T02:10:46.203Z,Escherichia virus Wphi,Peduovirus,Myoviridae,dsDNA,RefSeq,,,,,Escherichia coli W,,,,ViralProj307874
GCF_001503995.1,,"Narulita,E., Kawasaki,T., Fujie,M., Yamada,T.",2016-01-07T02:10:23.870Z,Ralstonia virus RSJ2,Risjevirus,Autographiviridae,dsDNA,RefSeq,,,Thailand,,Ralstonia solanacearum,,,,ViralProj307866
GCF_001503875.1,,"Narulita,E., Kawasaki,T., Fujie,M., Yamada,T.",2016-01-07T02:08:09.710Z,Ralstonia virus RSJ5,Risjevirus,Autographiviridae,dsDNA,RefSeq,,,Thailand,,Ralstonia solanacearum,,,,ViralProj307842
GCF_001503835.1,,"Carstens,A.B., Kot,W., Hansen,L.H.",2016-01-07T02:07:53.823Z,Escherichia virus JenK1,Nonagvirus,Siphoviridae,dsDNA,RefSeq,,1,,,Escherichia coli,feces,,,ViralProj307830
GCF_001503815.1,,"Sun,M.-Q., Wang,D.-B., Li,Y.",2016-01-07T02:07:13.677Z,Pseudoalteromonas phage H103,,Siphoviridae,dsDNA,RefSeq,,,China,,Pseudoalteromonas marina,,2014-11-15,,ViralProj307826
GCF_001503795.1,,"Zhao,X.",2016-01-07T02:07:00.587Z,Enterobacter virus Eap1,Eapunavirus,Autographiviridae,dsDNA,RefSeq,,,,,Klebsiella aerogenes,,,,ViralProj308017
GCF_001503775.1,,"Monot,M.",2016-01-07T02:06:57.773Z,Clostridium phage phiMMP01,Lubbockvirus,Myoviridae,dsDNA,RefSeq,,,,,Clostridioides difficile,,,,ViralProj308013
GCF_001503735.1,,"Cohen,J.E., Wang,R., Shen,R., Keller,J.E.",2016-01-07T02:06:13.503Z,Clostridium phage phiCT9441A,,Myoviridae,dsDNA,RefSeq,,,,,Clostridium tetani ATCC 9441,,,SAMN03018588,ViralProj308005
GCF_001503755.1,,"Monot,M.",2016-01-07T02:06:08.763Z,Clostridium phage phiCD146,,Siphoviridae,dsDNA,RefSeq,,,,,Clostridioides difficile,,,,ViralProj308009
GCF_001503715.1,,"King,A.R., Cook,R.C., Khenner,E.M., Owens,N.L., Sharma,A., Stairs,E.N., King,R.A., Rinehart,C.A., Serrano,M.G., Buck,G., Lee,V., Wang,Y., Carvalho,R., Voegtly,L., Shi,R., Duckworth,R., Johnson,A., Loviza,R., Walstead,R., Shah,Z., Kiflezghi,M., Wade,K., Anders,K.R., Braun,M.A., Delesalle,V.A., Hughes,L.E., Ware,V.C., Bradley,K.W., Barker,L.P., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:05:16.913Z,Mycobacterium phage Larenn,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Bowling Green, KY",KY,Mycolicibacterium smegmatis MC2 155,,2013-10-01,,ViralProj307971
GCF_001503695.1,,"Kaliniene,L., Meskys,R., Simoliunas,E., Zajanckauskaite,A., Truncaite,L.",2016-01-07T02:05:09.580Z,Escherichia virus VR20,Gaprivervirus,Myoviridae,dsDNA,RefSeq,,,Lithuania,,Escherichia coli,,,,ViralProj307967
GCF_001503655.1,,"Chen,M., Xu,J., Yao,H., Lu,C., Zhang,W.",2016-01-07T02:04:23.670Z,Escherichia virus P483,Berlinvirus,Autographiviridae,dsDNA,RefSeq,,1,,,Escherichia coli,feces,,,ViralProj307959
GCF_001503635.1,,"Hatfull,G.F., Zhang,H., Hausfater,N.H., Mitchell,A.H., Thomas,A.N., Weston-Hafer,K.A., Shaffer,C.D., Elgin,S.C., Zhang,X., Meincke,L.J., Goodwin,L.A., Detter,J.C., Han,S., Green,L.D., Bradley,K.W., Khaja,R., Lewis,M.F., Barker,L.P., Jordan,T.C., Russell,D.A., Leuba,K.D., Fritz,M.J., Bowman,C.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W.",2016-01-07T02:04:03.400Z,Mycobacterium phage Vortex,Pegunavirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: St. Louis, MO",MO,Mycolicibacterium smegmatis MC2 155,,2009-10-01,,ViralProj307955
GCF_001503675.1,,"Niu,Y.D., Cook,S.R., Wang,J., Klima,C.L., Hsu,Y.H., Kropinski,A.M., Turner,D., McAllister,T.A., Hsu,Y.-H., Mcallister,T.A.",2016-01-07T02:03:53.550Z,Mannheimia phage vB_MhS_535AP2,,Siphoviridae,dsDNA,RefSeq,,1,Canada,,Mannheimia haemolytica,,2007-12-07,,ViralProj307963
GCF_001503615.1,,"Sepulveda-Robles,O., Kameyama,L., Guarneros,G.",2016-01-07T02:02:53.473Z,Pseudomonas virus PaMx11,Abidjanvirus,Siphoviridae,dsDNA,RefSeq,,1,Mexico: Queretaro,,Pseudomonas aeruginosa,,2006,,ViralProj307951
GCF_001503595.1,,"Kim,J.H., Oh,C., Choresca,C.H., Shin,S.P., Han,J.E., Jun,J.W., Heo,S.J., Kang,D.H., Park,S.C., Son,J.S., Kang,D.-H.",2016-01-07T02:02:43.440Z,Acinetobacter phage phiAC-1,,Myoviridae,dsDNA,RefSeq,,1,South Korea,,Acinetobacter soli,,2010-10-07,,ViralProj307947
GCF_001503575.1,,"Kim,Y., Shin,H., Ryu,S.",2016-01-07T02:02:40.470Z,Cronobacter phage S13,,Myoviridae,dsDNA,RefSeq,,,,,Cronobacter sakazakii,,,,ViralProj307943
GCF_001503555.1,,"Delgado,B.M., Feathers,C.T., Feeney,M.S., Feuer,K.L., Florin,D.T., Gordon,M.B., Gorman,S.E., Grajales,M., Heckman,E.L., Juarez,M.C., Kenna,M.A., Mageeney,C.M., Marzillier,J.Y., Miller,B.D., Schlegel,J.L., So,C.Y., Sternberg,R.A., Ware,V.C., Anders,K.R., Braun,M.A., Delesalle,V.A., Hughes,L.E., Bradley,K.W., Barker,L.P., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:01:55.350Z,Mycobacterium phage Swirley,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,USA: Bethlehem PA,PA,Mycolicibacterium smegmatis MC2 155,,2013-10-01,,ViralProj307939
GCF_001503535.1,,"Lim,J.A., Lee,D.H., Heu,S., Lim,J.-A.",2016-01-07T02:01:43.550Z,Pectobacterium bacteriophage PM2,,Myoviridae,dsDNA,RefSeq,,1,,,,,,,ViralProj307935
GCF_001503515.1,,"Magill,D.J., Shaburova,O.V., Chesnokova,E.N., Pleteneva,E.A., Krylov,V.N., Kulakov,L.A.",2016-01-07T02:01:43.417Z,Pseudomonas virus CHU,Bruynoghevirus,Podoviridae,dsDNA,RefSeq,,,,,Pseudomonas aeruginosa,,,,ViralProj307931
GCF_001503395.1,,"Veralli,T.N., Brown,M.A., Cisneros,C.R., Greenhalgh,A.J., Law,J.M., Lederer,M.J., Shah,H.R., Situ,C.Y., Totten,M.C., Wenneker,E.R., Williams,M.K., Yuen,A.H., Schildbach,J.F., Serrano,M.G., Buck,G., Lee,V., Wang,Y., Carvalho,R., Voegtly,L., Shi,R., Duckworth,R., Johnson,A., Loviza,R., Walstead,R., Shah,Z., Kiflezghi,M., Wade,K., Delesalle,V.A., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T02:01:09.893Z,Mycobacterium phage Phatniss,Cheoctovirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Baltimore, MD",MD,Mycolicibacterium smegmatis MC2 155,,2013-10-01,,ViralProj307907
GCF_001503475.1,,"Carson,S., Bruff,E., DeFoor,W., Dums,J., Groth,A., Hatfield,T., Iyer,A., Joshi,K., McAdams,S., Miles,D., Miller,D., Oufkir,A., Raynor,B., Riley,S., Roland,S., Rozier,H., Talley,S., Miller,E.S., Dashiell,C., Russell,D., Schaff,J.",2016-01-07T02:00:48.417Z,Paenibacillus virus Lily,Lilyvirus,,dsDNA,RefSeq,,1,"USA: Casar, North Carolina",NC,Paenibacillus larvae,,2012-08-31,,ViralProj307923
GCF_001503495.1,,"Dreiseikelmann,B., Bunk,B., Rohde,M., Wittmann,J.",2016-01-07T02:00:48.380Z,Achromobacter virus JWX,Steinhofvirus,Siphoviridae,dsDNA,RefSeq,,,Germany,,Achromobacter xylosoxidans,,2012,,ViralProj307927
GCF_001503455.1,,"Hargrove,E.C., Lopez,M.S., Hernandez,A.C., Kuty Everett,G.F., Everett,G.F.K.",2016-01-07T01:59:58.410Z,Bacillus virus Palmer,Pagevirus,Podoviridae,dsDNA,RefSeq,,1,,,Bacillus megaterium,,,,ViralProj307919
GCF_001503435.1,,"Cao,F., Wang,X., Li,Z., Wang,L., Xu,Y.",2016-01-07T01:59:48.313Z,Klebsiella virus 1513,Webervirus,Drexlerviridae,dsDNA,RefSeq,,,China,,Klebsiella pneumoniae,,2013-01-08,,ViralProj307915
GCF_001503415.1,,"Sharaf,A., Marie,E., ElBaz,R., Elmaghraby,I., Mercati,F.",2016-01-07T01:59:09.213Z,Streptomyces phage SF3,,Siphoviridae,dsDNA,RefSeq,,,Egypt,,Streptomyces flavovirens,,,,ViralProj307911
GCF_001503375.1,,"Benson,M.A., Brockman,G.T., Polshakova,N.D., Conway,O., Boualoy,T.P., Peketi,P.K., Pelfrey,I.M., Lawless,W., Ferguson,C., Ball,S.L., Breitenberger,C.A., Daniels,C.J., Hughes,L.E., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T01:58:48.493Z,Mycobacterium phage Tasp14,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Columbus, OH",OH,Mycolicibacterium smegmatis MC2 155,,2014-10-01,,ViralProj307903
GCF_001503355.1,,"Rodel,H., Hlope,Z.R., Mbambo,L.M., Mkhwanazi,N.P., Mvuna,L.D., Ncobeni,N.P., Larsen,M.H., Russell,D.A., Bowman,C.A., Pope,W.H., Mavrich,T.N., Guerrero,C.A., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T01:58:18.413Z,Mycobacterium virus HyRo,Bixzunavirus,Myoviridae,dsDNA,RefSeq,,,South Africa: Durban,,Mycolicibacterium smegmatis MC2 155,,2014-07-01,,ViralProj307899
GCF_001503335.1,,"Mthembu,S., Pillay,L., Kasavan,K., Naidoo,N., Larsen,M.H., Russell,D.A., Bowman,C.A., Pope,W.H., Mavrich,T.N., Guerrero,C.A., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T01:57:58.477Z,Mycobacterium phage Snenia,Bronvirus,Siphoviridae,dsDNA,RefSeq,,,"South Africa: UKZN, Durban",,Mycolicibacterium smegmatis MC2 155,,2014-07-01,,ViralProj307895
GCF_001503315.1,,"Babu,N.S., Beckwith,C.J., Beseler,K.G., Brison,A., Carone,J.V., Caskin,T.P., Diamond,M., Durham,M.E., Foxe,J.M., Go,M., Henderson,B.A., Jones,I.B., McGettigan,J.A., Micheletti,S.J., Nasrallah,M.E., Ortiz,D., Piller,C.R., Privatt,S.R., Schneider,S.L., Sharp,S., Smith,T.C., Stanton,J.D., Ullery,H.E., Wilson,R.J., Serrano,M.G., Buck,G., Lee,V., Wang,Y., Carvalho,R., Voegtly,L., Shi,R., Duckworth,R., Johnson,A., Loviza,R., Walstead,R., Shah,Z., Kiflezghi,M., Wade,K., Ball,S.L., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T01:57:55.593Z,Mycobacterium phage Serenity,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Pullman, WA",WA,Mycolicibacterium smegmatis MC2 155,,2012-08-01,,ViralProj307891
GCF_001503295.1,,"Shah,Z.V., Bersano,I., Rubia,G.C., Walstead,R.N., Loviza,R.A., Tahir,R., Campbell,R.A., Williamson,S.M., Anderson,J., Padolina,J., Johnson,A., Serrano,M.G., Buck,G., Lee,V., Wang,Y., Carvalho,R., Voegtly,L., Shi,R., Duckworth,R., Kiflezghi,M., Wade,K., Hughes,L.E., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T01:57:28.390Z,Mycobacterium phage Pari,Fromanvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Richmond, VA",VA,Mycolicibacterium smegmatis MC2 155,,2010-10-01,,ViralProj307887
GCF_001503255.1,,"Mercanti,D.J., Rousseau,G.M., Capra,M.L., Quiberoni,A., Tremblay,D.M., Labrie,S.J., Moineau,S.",2016-01-07T01:56:43.633Z,Lactobacillus phage CL2,,Siphoviridae,dsDNA,RefSeq,,1,,,Lactobacillus paracasei,,,,ViralProj307879
GCF_001503235.1,,"Huang,S., Zhang,S., Jiao,N., Chen,F.",2016-01-07T01:56:41.753Z,Synechococcus virus SCBP42,Aegirvirus,Autographiviridae,dsDNA,RefSeq,,1,,,Synechococcus sp. WH 7803,,2006-06-05,,ViralProj307875
GCF_001503275.1,,"Bailey,A.M., Bennett,K.E., Carter,P.S., Deans,N.C., Dyle,E.V., Florea,A., Giraldo,T.A., Hayes,M.A., Ikejiani,J., Seawell,W.C., Shah,H., Toussaint,T.E., Coleman,D., Hammonds-Odie,L.P., Barrera,A.L., Serrano,M.G., Buck,G., Lee,V., Wang,Y., Carvalho,R., Voegtly,L., Shi,R., Duckworth,R., Johnson,A., Loviza,R., Walstead,R., Shah,Z., Kiflezghi,M., Wade,K., Anders,K.R., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T01:56:27.650Z,Mycobacterium phage Mufasa,Timquatrovirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Lawrenceville, GA",GA,Mycolicibacterium smegmatis MC2 155,,2012-10-01,,ViralProj307883
GCF_001503215.1,,"Fan,H., Huang,Y., Mi,Z., Yin,X., Wang,L., Zhang,Z., An,X., Chen,J., Tong,Y.",2016-01-07T01:55:38.570Z,Stenotrophomonas virus IME13,Tulanevirus,Myoviridae,dsDNA,RefSeq,,1,China,,Stenotrophomonas maltophilia,,2011-05,,ViralProj307871
GCF_001503035.1,,"Carstens,A.B., Kot,W., Hansen,L.H.",2016-01-07T01:53:48.313Z,Escherichia virus JenP1,Nonagvirus,Siphoviridae,dsDNA,RefSeq,,1,,,Escherichia coli,feces,,,ViralProj307829
GCF_001503095.1,,"Santiago-Rodriguez,T.M., Naidu,M., Jones,M.B., Ly,M., Pride,D.T.",2016-01-07T01:53:48.293Z,Staphylococcus phage 3MRA,Phietavirus,Siphoviridae,dsDNA,RefSeq,,1,USA,,Staphylococcus aureus,blood,,,ViralProj307845
GCF_001503075.1,,"Fridman,S., Flores-Uribe,J., Larom,S., Alalouf,O., Liran,O., Yacoby,I., Salama,F., Bailleul,B., Rappaport,F., Ziv,T., Sharon,I., Cornejo-Castillo,F.M., Philosof,A., Dupont,C.L., Sanchez,P., Acinas,S.G., Rohwer,F.L., Lindell,D., Beja,O.",2016-01-07T01:53:38.333Z,Prochlorococcus phage P-TIM68,,Myoviridae,dsDNA,RefSeq,,1,Kiribati: Caroline Island,,Prochlorococcus,,2009-04-17,,ViralProj307841
GCF_001503015.1,,"Botka,T., Ruzickova,V., Konecna,H., Pantucek,R., Rychlik,I., Zdrahal,Z., Petras,P., Doskar,J.",2016-01-07T01:52:58.327Z,Staphylococcus phage B166,Phietavirus,Siphoviridae,dsDNA,RefSeq,,1,Czech Republic,,Staphylococcus aureus,,2012-05-01,,ViralProj307825
GCF_001503055.1,,"Kawasaki,T., Fujie,M., Chatchawankanphanich,O., Ogata,H., Yamada,T.",2016-01-07T01:52:47.343Z,Ralstonia virus RSL2,Chiangmaivirus,Myoviridae,dsDNA,RefSeq,,,,,Ralstonia,,,,ViralProj307833
GCF_001502975.1,,"Quaiser,A., Dufresne,A., Ballaud,F., Roux,S., Zivanovic,Y., Colombet,J., Sime-Ngando,T., Francez,A.J.",2016-01-07T01:52:46Z,Parabacteroides phage YZ-2015a,,Microviridae,ssDNA(+),RefSeq,,1,,,Parabacteroides distasonis,,,,ViralProj307817
GCF_001502995.1,,"Alves,D.R., Perez-Esteban,P., Kot,W., Bean,J.E., Arnot,T., Hansen,L.H., Enright,M.C., Jenkins,A.T., Jenkins,A.T.A.",2016-01-07T01:52:37.780Z,Pseudomonas virus DL62,Phikmvvirus,Autographiviridae,dsDNA,RefSeq,,1,,,Pseudomonas aeruginosa PAO1,,,,ViralProj307821
GCF_001502955.1,,"Liu,X., Tong,Y., Huang,Y., An,X., Mi,Z., Zhang,Z.",2016-01-07T01:52:08.313Z,Citrobacter phage IME-CF2,,Myoviridae,dsDNA,RefSeq,,,China,,Citrobacter freundii,,,,ViralProj307813
GCF_001502915.1,,"Diemer,G.S.",2016-01-07T01:51:52.377Z,Gokushovirinae GAIR4,,Microviridae,ssDNA(+),RefSeq,,,"USA: Boiling Springs Lake, Lassen Volcanic National Park",CA,,,2009-09-25,,ViralProj307805
GCF_001502935.1,,"Lima-Junior,J.D., Viana-Niero,C., Conde Oliveira,D.V., Machado,G.E., Rabello,M.C., Martins-Junior,J., Martins,L.F., Digiampietri,L.A., da Silva,A.M., Setubal,J.C., Russell,D.A., Jacobs-Sera,D., Pope,W.H., Hatfull,G.F., Leao,S.C., Lima,J.D. Jr., Martins,J. Jr., Silva,A.M., Russel,D.A.",2016-01-07T01:51:48.430Z,Mycobacterium phage Florinda,Cheoctovirus,Siphoviridae,dsDNA,RefSeq,,1,Brazil,,Mycolicibacterium smegmatis,,2011-11-03,,ViralProj307809
GCF_001502875.1,,"Smith,R., O'Hara,M., Hobman,J.L., Millard,A.D., Millard,A.",2016-01-07T01:51:11.910Z,Escherichia phage slur07,Tequatrovirus,Myoviridae,dsDNA,RefSeq,,1,,,Escherichia,,,,ViralProj307797
GCF_001502835.1,,"Tong,Y., Zhang,X., An,X., Mi,Z.",2016-01-07T01:49:38.357Z,Enterococcus phage vB_EfaS_IME198,Saphexavirus,Siphoviridae,dsDNA,RefSeq,,,China,,Enterococcus faecalis,,,,ViralProj307789
GCF_001502735.1,,"Kirs,M., Smith,D.C., Johnson,P.W.",2016-01-07T01:48:45.180Z,Escherichia virus FI,Allolevivirus,Leviviridae,ssRNA(+),RefSeq,,1,USA,,,,,,ViralProj307769
GCF_001502695.1,,"Tong,Y., Kang,H., Xu,X., Zhang,Y., Wang,W., An,X., Zhang,Z., Mi,Z.",2016-01-07T01:47:56.123Z,Staphylococcus phage IME-SA4,,Siphoviridae,dsDNA,RefSeq,,,China,,Staphylococcus haemolyticus,,2014-10-08,,ViralProj307761
GCF_001502675.1,,"Phan,H., Ton,P., Bernal,J.T., Kanani-Hendijani,T.A., Munguia,J., Olumba,F.C., Orozco,S., Gibbs,Z.A., Donegan-Quick,R., Visi,D.K., Allen,M.S., Hughes,L.E., Bradley,K.W., Asai,D.J., Bowman,C.A., Russell,D.A., Pope,W.H., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.",2016-01-07T01:47:38.330Z,Streptomyces virus TP1604,Woodruffvirus,Siphoviridae,dsDNA,RefSeq,,,"USA: Keller, TX",TX,Streptomyces griseus,,2012-06-10,,ViralProj307757
GCF_001502655.1,,"Tsourkas,P.K., Yost,D.G., Krohn,A., LeBlanc,L., Zhang,A., Stamereilers,C., Amy,P.S., Krohn,A.L.",2016-01-07T01:47:28.610Z,Paenibacillus virus Willow,Sitaravirus,Siphoviridae,dsDNA,RefSeq,,1,,,Paenibacillus larvae,,,,ViralProj307753
GCF_001502635.1,,"Dyson,Z.A., Tucci,J., Seviour,R.J., Petrovski,S.",2016-01-07T01:47:08.360Z,Tsukamurella virus TIN3,Tinduovirus,Siphoviridae,dsDNA,RefSeq,,1,"Australia: Carrum, Victoria",,Tsukamurella inchonensis,,2010-08-02,,ViralProj307749
GCF_001502615.1,,"Pope,W.H., Jacobetz,E., Johnson,C.A., Kihle,B.L., Sobeski,M.A., Werner,M.B., Adkins,N.L., Kramer,Z.J., Montgomery,M.T., Grubb,S.R., Warner,M.H., Bowman,C.A., Russell,D.A., Hatfull,G.F., Bradley,K.W., Asai,D.J., Jacobs-Sera,D., Hendrix,R.W.",2016-01-07T01:46:48.377Z,Mycobacterium virus Phayonce,Phayoncevirus,Siphoviridae,dsDNA,RefSeq,,1,"USA: Pittsburgh, PA",PA,Mycolicibacterium smegmatis MC2 155,,2014-10-01,,ViralProj307745
