Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015295-LAF	S700015908-LAF	S700016092-LAF	S700016174-LAF	S700016339-LAF	S700016658-LAF	S700016758-LAF	S700023273-LAF	S700023537-LAF	S700023584-LAF	S700023627-LAF	S700023794-LAF	S700023851-LAF	S700024260-LAF	S700024312-LAF	S700024515-LAF	S700024609-LAF	S700024705-LAF	S700024758-LAF	S700024872-LAF	S700024924-LAF	S700024972-LAF	S700032276-LAF	S700032370-LAF	S700032462-LAF	S700032976-LAF	S700033185-LAF	S700033250-LAF	S700033609-LAF	S700033781-LAF	S700034075-LAF	S700034132-LAF	S700034220-LAF	S700035208-LAF	S700035629-LAF	S700037022-LAF	S700037048-LAF	S700037278-LAF	S700037383-LAF	S700037431-LAF	S700037474-LAF	S700037840-LAF	S700037922-LAF	S700038027-LAF	S700038098-LAF	S700038152-LAF	S700038360-LAF	S700038572-LAF	S700038620-LAF	S700038728-LAF	S700038972-LAF	S700095404-LAF	S700095461-LAF	S700095518-LAF	S700095575-LAF	S700095701-LAF	S700095768-LAF	S700095882-LAF	S700097228-LAF	S700097742-LAF	S700099053-LAF	S700099339-LAF	S700099940-LAF	S700100591-LAF	S700100651-LAF	S700101127-LAF	S700101185-LAF	S700101566-LAF	S700101948-LAF	S700102293-LAF	S700102464-LAF	S700102639-LAF	S700102899-LAF	S700103581-LAF	S700103647-LAF	S700105802-LAF	S700105898-LAF	S700106689-LAF	S700106924-LAF	S700107429-LAF	S700107540-LAF	S700107597-LAF	S700107810-LAF	S700108149-LAF	S700108272-LAF	S700108947-LAF	S700109224-LAF	S700109557-LAF	S700109675-LAF	S700109975-LAF	S700110800-LAF	S700111210-LAF	S700111799-LAF	S700112806-LAF	S700113099-LAF	S700113150-LAF	S700113529-LAF	S700113568-LAF	S700113642-LAF	S700113670-LAF	S700113795-LAF	S700113846-LAF	S700114043-LAF	S700114185-LAF	S700114240-LAF	S700114293-LAF	S700114413-LAF	S700114641-LAF	S700114675-LAF	S700114723-LAF	S700114773-LAF	S700114878-LAF	S700114927-LAF	S700114983-LAF	S700116102-LAF	S700116384-LAF	S700116953-LAF	S700117631-LAF	S700117854-LAF	S700118464-LAF	S700119216-LAF	S700119616-LAF	S700119790-LAF	S700120091-LAF	S700122398-LAF	S700163705-LAF	S700163760-LAF	S700163914-LAF	S700164185-LAF	S700164275-LAF	S700164345-LAF	S700164493-LAF	S700164761-LAF	S700164818-LAF	S700164858-LAF	S700165040-LAF	S700165138-LAF	S700165402-LAF	S700171060-LAF	S700171519-LAF	S700171567-LAF	S700171828-LAF	S700172056-LAF	S700173066-LAF	S700173476-LAF
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-290	species	290	2570		0.0	0.0	0.0	0.0	0.0	0.071	0.0	1.391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208	0.226	0.0	0.0	0.647	0.033	0.0	0.46	0.187	0.445	0.0	1.202	0.253	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.24	0.017	0.0	0.0	2.206	0.0	0.035	0.0	0.0	0.0	0.0	0.05	0.138	0.0	0.091	0.0	0.0	0.054	0.0	0.0	0.0	0.075	0.0	0.0	0.036	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.645	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.153	0.0	0.038	0.493	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.113	0.684	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;sp. HMT-295	species	295	2575		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.0	0.022	0.063	5.969	0.0	0.0	0.081	0.0	0.0	0.233	0.021	0.0	0.0	0.0	0.0	0.0	0.761	0.0	0.0	0.294	0.0	0.0	0.0	0.18	0.0	0.0	0.062	0.0	0.017	0.0	0.0	0.291	0.0	0.018	0.0	0.0	0.0	0.192	0.0	0.138	0.0	0.0	0.0	0.186	0.022	0.181	0.231	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.144	0.023	0.0	0.0	0.05	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662	2858		0.557	0.843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.816	0.0	0.0	0.0	2.899	0.657	0.0	0.0	0.236	0.0	0.0	0.107	0.0	0.0	0.347	0.0	3.443	0.136	0.476	0.0	0.228	0.025	0.0	0.0	0.0	0.0	0.528	0.331	0.0	0.397	1.267	0.0	0.434	0.057	0.049	0.0	0.0	0.0	0.646	0.348	0.0	0.0	0.0	0.931	1.245	0.0	0.22	0.91	4.066	0.376	0.0	0.014	3.793	0.136	0.0	0.0	0.0	0.172	0.533	0.989	0.106	0.0	0.0	0.0	0.0	0.252	0.276	0.243	0.182	3.748	0.372	0.646	2.42	1.589	3.726	0.2	0.312	0.025	0.073	0.329	0.0	0.0	0.0	0.056	0.96	0.0	0.0	0.0	0.192	0.0	0.0	2.728	4.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.297	0.329	3.159	0.0	0.0	0.0	0.0	0.0	0.317	0.194	0.0	0.0	0.0	0.0	0.275	0.0	0.115	4.856	0.051	0.0	0.0	0.354	0.384	0.0	0.433	0.0	0.0	0.565	0.05	2.012
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;naviforme	species	689	2878		0.0	0.0	0.0	0.0	0.0	0.036	0.115	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131	0.0	0.0	0.202	0.0	0.375	0.0	0.0	0.329	0.0	0.0	0.028	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.016	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.073	1.198	0.0	0.0	0.0	1.112	0.015	0.0	0.0	0.025	0.0	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.086	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.529	0.093	0.032	0.0	0.0	0.077	0.0	0.0	0.099	1.203	0.037	8.172	0.112	0.0	0.112	0.0	0.375	0.0	0.0	0.0	0.029	0.615	0.0	0.0	4.734	0.583	0.192	0.398	0.124	0.439	0.0	0.0	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.066	0.1	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200	2483		0.0	0.211	0.0	0.0	0.0	0.018	0.058	0.0	0.0	1.946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.832	0.0	0.106	0.0	0.0	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.938	0.0	0.0	0.0	0.021	0.011	0.032	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.583	0.0	0.0	0.0	0.0	1.638	0.0	0.0	0.332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.044	0.093	0.065	0.0	0.0	0.0	0.025	0.0	0.074	0.51	0.0	0.041	0.045	0.0	0.0	0.0	0.023	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.486	0.272	0.019	0.292	0.0	0.053	0.0	0.0	0.074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.507	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201	2484		0.0	0.948	0.0	0.824	20.081	0.189	0.019	3.54	2.535	2.811	4.051	4.483	4.386	1.359	3.665	0.0	0.0	0.441	0.0	2.933	0.851	0.141	0.034	0.0	0.268	1.14	9.125	0.0	0.0	0.513	0.0	0.0	0.238	0.0	0.0	4.395	0.018	5.493	1.685	0.208	0.868	0.0	0.022	1.692	0.245	0.838	1.175	0.065	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.215	0.015	0.176	0.0	0.0	2.233	0.36	0.0	0.065	0.0	0.0	0.0	1.235	0.0	0.751	2.323	0.493	9.906	10.276	0.0	0.0	0.252	0.0	0.0	0.0	0.441	0.186	2.219	0.0	0.051	0.694	0.224	0.0	0.099	0.911	0.11	0.082	13.642	0.109	0.73	0.053	0.363	0.0	1.985	0.357	24.208	0.224	3.124	0.0	0.036	10.856	9.918	13.547	3.722	0.319	3.35	0.111	0.074	0.0	0.077	0.087	0.345	0.0	0.0	1.211	0.141	0.0	0.0	0.614	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.123	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.3	0.155
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213	2496		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.776	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.0	0.0	0.0	0.0	0.196	0.0	0.0	0.0	0.386	0.0	0.097	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.051	0.0	0.416	0.0	0.073	0.0	0.102	0.067	0.0	0.056	0.0	2.282	0.397	0.0	0.0	0.0	0.503	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165	0.0	0.0	0.0	0.0	0.0	0.05	0.155
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215	2498		0.0	0.316	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.263	0.0	0.035	0.0	0.0	1.876	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.833	0.339	0.0	0.0	0.439	0.0	0.0	0.0	0.033	0.099	0.0	0.0	0.0	0.0	0.765	0.0	0.0	0.0	0.423	0.0	0.0	0.0	0.0	0.0	0.401	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.024	0.817	0.07	9.223	1.332	0.0	0.192	0.0	0.0	0.0	0.0	0.132	0.0	0.205	0.0	0.0	0.514	0.0	0.0	0.0	1.385	0.0	1.427	2.576	0.0	0.0	0.0	1.317	0.106	0.0	0.0	1.627	0.224	0.352	0.0	0.0	1.088	4.354	1.75	1.799	0.412	0.0	0.0	0.0	0.11	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417	2678		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.036	0.0	0.494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.281	0.0	0.302	0.0	0.0	0.0	0.0	0.0	0.281	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.169	0.0	0.165	0.25	0.0	0.415	1.129	0.0	0.0	0.065	0.0	0.0	0.0	0.0	0.115	0.024	2.495	0.053	3.843	0.0	0.0	0.0	0.0	0.0	0.0	0.455	0.0	0.14	0.237	0.0	0.0	0.154	0.274	0.0	0.0	0.547	0.256	0.0	0.045	0.0	0.0	0.0	0.045	0.053	0.0	0.0	3.825	0.168	0.264	0.0	0.0	3.088	4.201	18.399	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.439	0.0	0.0	0.0	0.0	0.0	0.0	1.548
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221	2504		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.601	0.0	0.0	0.07	0.0	0.276	0.0	0.0	0.196	0.0	0.0	0.0	0.0	0.0	0.0	0.215	0.0	0.0	5.899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.399	0.0	0.0	0.182	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.326	2.386	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.238
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;sp. HMT-002	species	002	2293		0.0	0.0	9.818	0.0	0.0	0.0	0.038	6.321	0.0	3.604	0.807	2.487	0.253	2.977	0.0	0.662	0.0	0.0	0.0	0.438	0.532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.228	2.458	0.018	0.197	0.0	1.146	0.0	0.0	0.0	0.585	1.012	0.0	0.255	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.196	0.0	0.114	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.744	0.0	0.029	0.056	0.0	0.021	0.018	0.0	0.0	0.0	0.0	0.027	0.0	0.056	0.223	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.312	0.955	0.0	0.0	0.173	0.036	0.038	0.422	0.0	0.185	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia;broomeae	species	559	2778		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.449	0.0	0.0	0.0	0.0	0.0	0.429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.621	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0	0.0	0.0	0.409	0.033	0.0	0.302	0.0	0.0	0.0	0.0	0.146	0.0	0.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;elkanii	species	597	2808		0.0	0.0	5.119	1.876	0.0	0.0	0.0	1.011	0.0	0.919	2.49	0.0	0.758	0.0	0.0	0.0	0.0	0.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.009	0.0	0.0	0.687	0.0	0.0	0.0	0.0	0.0	0.025	0.018	1.184	0.0	0.417	0.415	0.0	0.0	0.042	0.211	0.612	0.0	0.057	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.686	0.038	0.0	0.046	0.0	0.0	0.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.049	0.0	0.0	0.0	0.0	0.0	0.0	2.046	0.0	0.59	0.0	0.109	0.0	0.0	0.167	0.123	0.0	0.0	0.219	0.0	0.048	0.136	0.0	0.0	0.0	0.155
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;anthropi	species	544	2766		0.0	0.0	0.421	0.0	0.0	0.361	8.482	0.0	0.461	0.865	0.193	0.0	0.149	0.0	0.422	0.039	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.018	0.143	0.0	0.0	4.36	0.183	0.0	0.0	0.0	0.0	0.065	0.05	0.018	0.099	1.966	0.208	2.112	0.0	0.0	0.376	0.478	0.226	1.559	0.008	0.0	0.49	0.0	0.0	0.086	0.035	0.219	0.0	0.0	0.0	0.343	0.0	0.103	0.0	0.0	0.0	0.0	0.0	0.262	0.0	0.12	0.0	0.0	0.0	0.024	0.0	0.0	0.085	0.0	0.114	0.0	0.05	0.092	0.0	0.091	0.044	0.279	0.0	0.0	0.0	0.026	0.05	0.0	0.0	0.146	0.073	0.0	0.022	0.0	0.0	0.16	0.0	0.053	0.248	0.522	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	2.614	0.0	0.0	0.876	0.0	0.0	5.525	0.0	0.0	2.258	0.0	0.086	0.0	0.546	0.0	0.0	0.01	0.146	0.423	0.563	4.322	2.338	0.084	0.673	0.329	0.0	0.985	0.045	0.0	0.0	0.35	0.155
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium;humi	species	006	2297		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.601	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	4.186	0.0	0.0	0.0	0.0	0.243	0.091	0.0	0.14	1.045	0.0	0.0	0.257	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.173	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.024	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004	2295		0.0	0.0	0.0	0.0	0.0	0.006	0.0	3.477	2.823	0.0	0.614	1.261	1.16	0.388	0.616	0.0	0.0	0.0	1.035	0.0	0.0	0.318	0.303	0.0	0.0	0.0	0.0	0.376	0.0	0.458	0.0	0.0	0.149	0.0	1.171	0.621	0.106	0.23	0.0	0.625	0.038	0.0	0.088	0.0	0.0	0.693	0.255	0.016	0.148	0.0	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.519	0.0	0.0	0.144	0.0	0.589	0.062	0.0	0.0	0.0	0.0	0.194	0.817	0.018	0.0	0.0	0.0	0.269	0.05	0.046	0.0	0.455	0.397	0.698	0.0	0.242	0.0	0.308	0.0	0.0	0.0	0.036	0.0	0.0	0.022	0.145	0.0	0.0	0.0	0.0	33.002	0.0	0.029	0.336	0.352	0.043	0.09	0.0	0.0	0.08	0.124	0.013	3.186	5.351	4.451	0.0	1.156	0.451	1.529	0.0	0.0	0.826	0.0	0.0	0.938	2.319	0.0	0.885	0.775	0.255	0.231	0.493	0.064	0.677	0.591	0.248	0.055	0.0	2.836	0.023	0.0	0.0	0.0	0.31
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022	2313		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.697	0.0	0.0	0.0	0.0	0.0	0.0	0.177	0.387	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.339	0.0	0.0	0.251	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.861	0.0	0.09	0.646	0.0	0.083	0.527	0.0	0.0	0.0	0.136	0.0	0.0	0.733	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.345	0.0	0.092	0.0	0.0	0.794	0.14	0.043	0.0	0.0	0.283	0.05	0.0	0.0	0.109	0.658	1.671	0.0	0.0	0.0	0.0	2.543	0.767	0.0	0.0	0.029	0.447	0.0	0.0	2.16	0.0	0.077	0.0	0.124	2.673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.258	0.422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115	0.0	0.013	1.908	0.0	0.035	0.823	0.0	0.0	0.0	0.0	0.0	0.0	0.31
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406	2671		0.049	0.0	9.046	0.796	16.279	0.012	0.0	53.919	56.624	57.398	52.455	59.335	39.132	3.172	1.038	28.126	0.045	0.22	1.449	1.007	0.461	0.0	0.0	0.0	0.0	0.0	6.38	0.0	0.0	0.339	0.0	0.0	0.0	0.0	0.195	1.838	0.018	1.974	0.187	1.354	0.189	0.708	0.088	2.652	1.745	18.582	0.741	1.333	0.0	0.264	0.0	0.084	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	4.099	0.0	0.973	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.056	0.0	0.011	0.0	1.737	0.0	0.029	0.056	0.44	0.043	0.018	0.039	0.0	0.027	0.124	0.04	0.0	0.557	0.371	0.219	0.039	0.015	0.395	0.0	4.516	0.0	0.035	0.0	4.062	0.819	0.332	0.0	0.0	0.182	0.077	0.281	0.27	0.185	0.169	0.0	0.0	0.0	0.168	0.0	0.0	0.1	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209	2492		0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.0	0.0	0.035	0.018	0.168	0.0	0.375	0.249	0.0	0.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.035	0.0	0.281	0.0	0.453	0.047	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.479	0.0	0.085	0.0	0.06	0.103	0.0	0.083	0.125	0.0	0.071	0.458	0.0	0.0	0.017	9.842	0.402	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.454	0.0	0.0	0.0	0.0	0.419	0.345	0.181	0.0	0.591	0.574	0.156	0.0	0.073	0.256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.528	0.0	0.056	0.0	0.0	0.018	0.0	0.0	0.027	0.0	0.0	0.163	0.0	0.0	0.0	0.0	0.0	0.197	0.0	0.0	0.165	0.0	0.0	0.312	0.205	0.0	0.0	2.09	4.292	0.0	0.352	0.0	2.031	0.0	0.0	0.11	0.0	0.288	0.0	0.0	0.0	0.1	0.619
