Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-225	species	HMT-225		0.551	0.047	0.0	0.048	0.372	25.0	0.014	0.0	0.044	0.041	19.595	0.012	0.0	0.028	0.05	12.162	0.014	0.0	0.037	0.039	20.27	0.0	0.0	0.0	0.0	0.0	0.325	0.0	0.807	0.791	45.27	0.551	0.0	1.671	1.343	49.324	0.022	0.0	0.065	0.056	25.0	0.004	0.0	0.001	0.013	10.135	0.008	0.0	0.03	0.022	13.514
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-226	species	HMT-226	Reads equally close to T. medium and T. sp. HMT 226, 230, 235, and 237 were assigned one-fifth to each taxon.; 	0.122	0.005	0.0	0.016	0.017	22.973	0.002	0.0	0.006	0.006	14.865	0.001	0.0	0.0	0.004	3.378	0.027	0.0	0.07	0.082	39.189	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.374	0.307	50.676	0.037	0.0	0.064	0.117	35.135	0.016	0.0	0.044	0.032	45.946	0.001	0.0	0.0	0.005	6.081	0.007	0.0	0.013	0.024	27.027
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-230	species	HMT-230	Reads equally close to T. medium and T. sp. HMT 226, 230, 235, and 237 were assigned one-fifth to each taxon.; 	0.122	0.005	0.0	0.016	0.017	22.973	0.002	0.0	0.006	0.006	14.865	0.001	0.0	0.0	0.004	3.378	0.027	0.0	0.07	0.082	39.189	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.374	0.307	50.676	0.037	0.0	0.064	0.117	35.135	0.016	0.0	0.044	0.032	45.946	0.001	0.0	0.0	0.005	6.081	0.007	0.0	0.013	0.024	27.027
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-231	species	HMT-231	Reads equally close to T. vincentii and T. sp. HMT 231 were assigned half to each taxon.; 	0.214	0.014	0.0	0.026	0.064	25.676	0.007	0.0	0.02	0.021	22.297	0.002	0.0	0.0	0.008	6.081	0.07	0.0	0.148	0.227	46.622	0.0	0.0	0.0	0.0	0.0	0.214	0.0	0.572	0.443	52.703	0.062	0.0	0.199	0.168	39.865	0.027	0.0	0.081	0.045	48.649	0.011	0.0	0.032	0.029	27.703	0.033	0.0	0.054	0.155	37.162
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-234	species	HMT-234		0.075	0.004	0.0	0.0	0.026	4.054	0.001	0.0	0.0	0.005	2.703	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.029	8.108	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.064	0.318	12.838	0.008	0.0	0.0	0.048	4.73	0.011	0.0	0.0	0.054	9.459	0.001	0.0	0.0	0.01	1.351	0.001	0.0	0.0	0.007	4.054
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-235	species	HMT-235	Reads equally close to T. medium and T. sp. HMT 226, 230, 235, and 237 were assigned one-fifth to each taxon.; 	0.122	0.005	0.0	0.016	0.017	22.973	0.002	0.0	0.006	0.006	14.865	0.001	0.0	0.0	0.004	3.378	0.027	0.0	0.07	0.082	39.189	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.374	0.307	50.676	0.037	0.0	0.064	0.117	35.135	0.016	0.0	0.044	0.032	45.946	0.001	0.0	0.0	0.005	6.081	0.007	0.0	0.013	0.024	27.027
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-237	species	HMT-237	Reads equally close to T. medium and T. sp. HMT 226, 230, 235, and 237 were assigned one-fifth to each taxon.; 	0.122	0.005	0.0	0.016	0.017	22.973	0.002	0.0	0.006	0.006	14.865	0.001	0.0	0.0	0.004	3.378	0.027	0.0	0.07	0.082	39.189	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.374	0.307	50.676	0.037	0.0	0.064	0.117	35.135	0.016	0.0	0.044	0.032	45.946	0.001	0.0	0.0	0.005	6.081	0.007	0.0	0.013	0.024	27.027
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-238	species	HMT-238		0.088	0.011	0.0	0.0	0.065	5.405	0.003	0.0	0.0	0.021	4.054	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.033	6.081	0.0	0.0	0.0	0.0	0.0	0.088	0.0	0.032	0.364	11.486	0.022	0.0	0.0	0.113	7.432	0.029	0.0	0.006	0.144	10.135	0.003	0.0	0.0	0.019	3.378	0.002	0.0	0.0	0.014	4.73
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-239	species	HMT-239		0.032	0.0	0.0	0.0	0.004	1.351	0.0	0.0	0.0	0.004	1.351	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.006	0.676	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.21	5.405	0.004	0.0	0.0	0.028	2.703	0.001	0.0	0.0	0.008	4.054	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.004	2.027
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-246	species	HMT-246		0.072	0.003	0.0	0.0	0.022	4.054	0.001	0.0	0.0	0.004	2.027	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.054	3.378	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.007	0.478	10.811	0.004	0.0	0.0	0.026	4.054	0.008	0.0	0.0	0.038	8.108	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.011	4.054
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	HMT-248		0.499	0.009	0.0	0.0	0.044	6.757	0.007	0.0	0.0	0.043	6.757	0.499	0.0	0.033	2.157	11.486	0.03	0.0	0.002	0.26	10.135	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.037	4.054	0.004	0.0	0.0	0.036	4.054	0.023	0.0	0.051	0.081	12.162	0.001	0.0	0.0	0.006	4.73	0.016	0.0	0.0	0.079	9.459
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-253	species	HMT-253		0.04	0.002	0.0	0.0	0.015	3.378	0.001	0.0	0.0	0.005	2.027	0.001	0.0	0.0	0.008	0.676	0.026	0.0	0.034	0.156	12.162	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.054	0.161	14.865	0.015	0.0	0.0	0.077	6.081	0.01	0.0	0.0	0.055	7.432	0.0	0.0	0.0	0.003	0.676	0.005	0.0	0.0	0.024	6.081
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-254	species	HMT-254		0.011	0.001	0.0	0.0	0.005	2.027	0.0	0.0	0.0	0.003	0.676	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.008	1.351	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.063	4.054	0.0	0.0	0.0	0.003	0.676	0.003	0.0	0.0	0.018	4.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.676
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-257	species	HMT-257	Reads equally close to T. amylovorum and T. sp. HMT 257 were assigned half to each taxon.; 	0.049	0.004	0.0	0.009	0.015	11.486	0.002	0.0	0.0	0.014	4.73	0.0	0.0	0.0	0.001	0.676	0.019	0.0	0.023	0.081	14.865	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.095	0.201	20.946	0.013	0.0	0.0	0.064	9.459	0.035	0.0	0.057	0.155	24.324	0.002	0.0	0.0	0.018	3.378	0.006	0.0	0.006	0.046	11.486
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-258	species	HMT-258	Reads equally close to T. sp. HMT 258 and 490 were assigned half to each taxon.; 	0.012	0.001	0.0	0.0	0.006	2.027	0.0	0.0	0.0	0.002	1.351	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.024	6.081	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.071	7.432	0.006	0.0	0.0	0.054	4.054	0.006	0.0	0.0	0.025	8.784	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.005	2.027
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT-259	species	HMT-259	Reads equally close to H. aegyptius, H. influenzae, and H. sp. HMT 259 were assigned one-third to each taxon.; 	0.087	0.0	0.0	0.0	0.002	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.676	0.006	0.0	0.016	0.022	15.541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	1.351	0.0	0.0	0.0	0.001	1.351	0.002	0.0	0.0	0.008	8.784	0.0	0.0	0.0	0.001	2.027	0.087	0.0	0.002	0.96	10.811
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-260	species	HMT-260	Reads equally close to T. maltophilum and T. sp. HMT 260 were assigned half to each taxon.; 	0.091	0.003	0.0	0.0	0.017	9.459	0.001	0.0	0.0	0.004	4.73	0.0	0.0	0.0	0.002	2.027	0.012	0.0	0.036	0.042	18.243	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.208	0.207	49.324	0.032	0.0	0.076	0.093	31.081	0.006	0.0	0.021	0.015	26.351	0.0	0.0	0.0	0.002	3.378	0.003	0.0	0.002	0.012	10.135
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-263	species	HMT-263		0.019	0.001	0.0	0.0	0.01	1.351	0.001	0.0	0.0	0.005	2.027	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.021	2.703	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.228	0.676	0.0	0.0	0.0	0.006	0.676	0.002	0.0	0.0	0.015	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.351
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-264	species	HMT-264		0.01	0.0	0.0	0.0	0.006	0.676	0.0	0.0	0.0	0.001	0.676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.122	0.676	0.0	0.0	0.0	0.003	0.676	0.003	0.0	0.0	0.042	0.676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-265	species	HMT-265		0.062	0.001	0.0	0.0	0.012	1.351	0.001	0.0	0.0	0.01	2.027	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.021	4.73	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.597	8.784	0.004	0.0	0.0	0.026	4.054	0.005	0.0	0.0	0.028	4.73	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.016	2.027
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-268	species	HMT-268	Reads equally close to T. socranskii, T. sp. HMT 268, and T. sp. HMT 269 were assigned one-third to each taxon.; 	0.297	0.009	0.0	0.016	0.056	25.676	0.003	0.0	0.006	0.016	10.811	0.0	0.0	0.0	0.002	3.378	0.027	0.0	0.069	0.065	45.946	0.0	0.0	0.0	0.0	0.0	0.297	0.0	0.848	0.401	73.649	0.129	0.0	0.392	0.293	62.838	0.027	0.0	0.073	0.044	56.081	0.003	0.0	0.01	0.01	18.919	0.01	0.0	0.023	0.033	30.405
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-269	species	HMT-269	Reads equally close to T. socranskii, T. sp. HMT 268, and T. sp. HMT 269 were assigned one-third to each taxon.; 	0.297	0.009	0.0	0.016	0.056	25.676	0.003	0.0	0.006	0.016	10.811	0.0	0.0	0.0	0.002	3.378	0.027	0.0	0.069	0.065	45.946	0.0	0.0	0.0	0.0	0.0	0.297	0.0	0.848	0.401	73.649	0.129	0.0	0.392	0.293	62.838	0.027	0.0	0.073	0.044	56.081	0.003	0.0	0.01	0.01	18.919	0.01	0.0	0.023	0.033	30.405
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema;sp. HMT-270	species	HMT-270		0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.004	2.027	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.027	0.248	10.811	0.01	0.0	0.0	0.061	7.432	0.003	0.0	0.0	0.016	4.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.676
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	HMT-273		1.304	0.06	0.0	0.177	0.137	44.595	0.037	0.0	0.095	0.096	34.459	0.007	0.0	0.0	0.04	6.757	0.729	0.0	1.344	3.056	59.459	0.0	0.0	0.0	0.002	1.399	1.304	0.0	3.522	3.507	58.784	0.25	0.0	0.517	1.154	39.865	0.278	0.0	0.84	0.503	66.892	0.019	0.0	0.051	0.049	23.649	0.282	0.0	0.419	2.077	53.378
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacteraceae [G1];bacterium HMT-274	species	HMT-274		1.198	0.051	0.0	0.076	0.252	33.784	0.013	0.0	0.031	0.044	18.243	0.003	0.0	0.0	0.016	5.405	0.159	0.0	0.129	0.667	30.405	0.0	0.0	0.0	0.0	0.0	1.198	0.0	3.522	2.025	62.162	0.449	0.0	1.671	0.905	54.054	0.149	0.0	0.367	0.287	64.865	0.004	0.0	0.0	0.017	9.459	0.015	0.0	0.043	0.042	20.27
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	HMT-275	Reads equally close to P. catoniae and P. sp. HMT 275, 277, and 284 were assigned one-fourth to each taxon.; 	0.375	0.058	0.0	0.129	0.165	69.595	0.019	0.0	0.043	0.038	62.162	0.158	0.0	0.442	0.351	58.784	0.023	0.0	0.047	0.064	49.324	0.0	0.0	0.0	0.0	0.699	0.337	0.0	0.893	0.471	81.757	0.375	0.0	1.056	0.46	87.162	0.098	0.0	0.262	0.118	85.135	0.004	0.0	0.012	0.011	30.405	0.012	0.0	0.028	0.032	37.162
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-277	species	HMT-277	Reads equally close to P. catoniae and P. sp. HMT 275, 277, and 284 were assigned one-fourth to each taxon.; 	0.375	0.058	0.0	0.129	0.165	69.595	0.019	0.0	0.043	0.038	62.162	0.158	0.0	0.442	0.351	58.784	0.023	0.0	0.047	0.064	49.324	0.0	0.0	0.0	0.0	0.699	0.337	0.0	0.893	0.471	81.757	0.375	0.0	1.056	0.46	87.162	0.098	0.0	0.262	0.118	85.135	0.004	0.0	0.012	0.011	30.405	0.012	0.0	0.028	0.032	37.162
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	HMT-278	Reads equally close to P. pasteri and P. sp. HMT 278 were assigned half to each taxon.; 	2.4	1.408	0.069	3.193	1.825	95.27	1.773	0.063	4.06	1.757	94.595	0.286	0.0	0.556	0.764	71.622	1.781	0.025	4.513	2.061	92.568	0.0	0.0	0.0	0.002	3.497	0.87	0.0	2.843	1.341	84.459	1.026	0.0	3.257	1.344	82.432	2.4	0.168	5.59	2.261	97.297	2.163	0.011	6.007	2.775	93.919	1.771	0.013	4.801	2.174	90.541
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	HMT-279	Reads equally close to P. pasteri and P. sp. HMT 278 were assigned half to each taxon.; 	2.4	1.408	0.069	3.193	1.825	95.27	1.773	0.063	4.06	1.757	94.595	0.286	0.0	0.556	0.764	71.622	1.781	0.025	4.513	2.061	92.568	0.0	0.0	0.0	0.002	3.497	0.87	0.0	2.843	1.341	84.459	1.026	0.0	3.257	1.344	82.432	2.4	0.168	5.59	2.261	97.297	2.163	0.011	6.007	2.775	93.919	1.771	0.013	4.801	2.174	90.541
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	HMT-283	Reads equally close to P. catoniae and P. sp. HMT 275, 277, and 284 were assigned one-fourth to each taxon.; 	0.375	0.058	0.0	0.129	0.165	69.595	0.019	0.0	0.043	0.038	62.162	0.158	0.0	0.442	0.351	58.784	0.023	0.0	0.047	0.064	49.324	0.0	0.0	0.0	0.0	0.699	0.337	0.0	0.893	0.471	81.757	0.375	0.0	1.056	0.46	87.162	0.098	0.0	0.262	0.118	85.135	0.004	0.0	0.012	0.011	30.405	0.012	0.0	0.028	0.032	37.162
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	HMT-284	Reads equally close to P. catoniae and P. sp. HMT 275, 277, and 284 were assigned one-fourth to each taxon.; 	0.375	0.058	0.0	0.129	0.165	69.595	0.019	0.0	0.043	0.038	62.162	0.158	0.0	0.442	0.351	58.784	0.023	0.0	0.047	0.064	49.324	0.0	0.0	0.0	0.0	0.699	0.337	0.0	0.893	0.471	81.757	0.375	0.0	1.056	0.46	87.162	0.098	0.0	0.262	0.118	85.135	0.004	0.0	0.012	0.011	30.405	0.012	0.0	0.028	0.032	37.162
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-285	species	HMT-285		0.028	0.002	0.0	0.0	0.015	2.027	0.004	0.0	0.0	0.023	2.703	0.0	0.0	0.0	0.002	1.351	0.015	0.0	0.0	0.094	3.378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.0	0.209	5.405	0.007	0.0	0.0	0.053	3.378	0.023	0.0	0.0	0.171	4.73
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	HMT-286	Reads equally close to T. sp. HMT 286 and 916 were assigned half to each taxon.; 	0.149	0.022	0.0	0.054	0.043	46.622	0.024	0.0	0.061	0.056	41.216	0.005	0.0	0.001	0.019	10.135	0.097	0.0	0.294	0.209	60.135	0.0	0.0	0.0	0.001	0.699	0.143	0.0	0.295	0.282	69.595	0.149	0.0	0.482	0.215	66.216	0.042	0.0	0.119	0.053	64.189	0.047	0.0	0.078	0.186	37.838	0.075	0.0	0.22	0.183	53.378
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum	species	HMT-288		0.315	0.036	0.0	0.098	0.078	44.595	0.017	0.0	0.047	0.048	26.351	0.028	0.0	0.029	0.123	12.162	0.072	0.0	0.253	0.181	38.514	0.0	0.0	0.0	0.0	0.0	0.315	0.0	0.801	0.655	70.27	0.211	0.0	0.73	0.412	58.784	0.24	0.0	0.56	0.355	79.73	0.01	0.0	0.02	0.031	16.216	0.046	0.0	0.089	0.169	31.081
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;maculosa	species	HMT-289		0.047	0.006	0.0	0.02	0.018	12.838	0.001	0.0	0.0	0.008	2.703	0.007	0.0	0.0	0.079	2.027	0.004	0.0	0.0	0.017	8.784	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.125	0.13	28.378	0.03	0.0	0.074	0.124	22.297	0.037	0.0	0.087	0.101	35.135	0.0	0.0	0.0	0.003	1.351	0.002	0.0	0.0	0.012	2.703
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;denticola	species	HMT-291		0.652	0.075	0.0	0.216	0.16	44.595	0.05	0.0	0.08	0.275	28.378	0.003	0.0	0.0	0.015	4.73	0.381	0.0	0.179	2.812	33.108	0.0	0.0	0.0	0.0	0.0	0.652	0.0	1.414	2.068	51.351	0.201	0.0	0.371	0.713	32.432	0.145	0.0	0.423	0.252	58.108	0.014	0.0	0.034	0.065	16.216	0.065	0.0	0.063	0.503	23.649
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	HMT-298	Reads equally close to P. histicola and P. sp. HMT 306 were assigned half to each taxon.; 	1.324	0.239	0.0	0.323	0.739	59.459	0.607	0.0	1.483	1.188	79.054	0.021	0.0	0.05	0.073	25.0	1.06	0.0	2.502	1.589	83.108	0.0	0.0	0.0	0.001	1.399	0.025	0.0	0.016	0.137	16.892	0.018	0.0	0.013	0.133	14.189	1.067	0.0	2.809	2.021	84.459	1.055	0.0	2.728	1.65	81.081	1.324	0.0	3.199	1.848	86.486
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	HMT-299		1.657	0.294	0.0	0.691	0.513	86.486	0.766	0.042	1.826	1.048	91.892	0.346	0.0	0.857	0.82	61.486	0.61	0.0	1.463	0.821	89.189	0.0	0.0	0.0	0.002	1.399	0.032	0.0	0.079	0.095	29.054	0.028	0.0	0.084	0.079	31.081	1.657	0.098	3.961	2.495	94.595	1.236	0.011	2.985	1.916	89.865	0.557	0.0	1.32	0.696	83.108
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-300	species	HMT-300	Reads equally close to P. sp. HMT 292, 293, and 300 were assigned one-third to each taxon.; 	0.084	0.009	0.0	0.023	0.025	26.351	0.009	0.0	0.014	0.045	20.27	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.03	0.027	27.027	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.245	0.182	62.162	0.042	0.0	0.105	0.108	38.514	0.032	0.0	0.084	0.077	56.081	0.003	0.0	0.004	0.02	10.811	0.003	0.0	0.009	0.009	16.216
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	HMT-302		0.52	0.038	0.0	0.111	0.077	39.189	0.12	0.0	0.243	0.35	42.568	0.002	0.0	0.0	0.011	6.081	0.368	0.0	0.961	1.064	64.189	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.216	0.178	35.811	0.026	0.0	0.048	0.112	21.622	0.417	0.0	0.881	1.312	70.946	0.184	0.0	0.396	0.573	42.568	0.52	0.0	1.676	1.242	60.135
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;pleuritidis	species	HMT-303		0.544	0.024	0.0	0.086	0.058	24.324	0.01	0.0	0.038	0.036	14.865	0.002	0.0	0.0	0.014	2.703	0.133	0.0	0.215	0.485	26.351	0.0	0.0	0.0	0.0	0.0	0.544	0.0	1.866	1.423	33.108	0.082	0.0	0.217	0.309	22.297	0.097	0.0	0.288	0.259	40.541	0.004	0.0	0.014	0.014	11.486	0.031	0.0	0.079	0.117	22.973
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-305	species	HMT-305	Reads equally close to P. sp. HMT 305 and 396 were assigned half to each taxon.; 	0.132	0.01	0.0	0.028	0.035	18.243	0.028	0.0	0.095	0.057	41.216	0.0	0.0	0.0	0.002	3.378	0.063	0.0	0.169	0.124	53.378	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.007	3.378	0.001	0.0	0.0	0.006	1.351	0.132	0.0	0.358	0.207	66.216	0.048	0.0	0.146	0.074	55.405	0.083	0.0	0.271	0.127	60.135
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;vespertina	species	HMT-306	Reads equally close to P. histicola and P. sp. HMT 306 were assigned half to each taxon.; 	1.324	0.239	0.0	0.323	0.739	59.459	0.607	0.0	1.483	1.188	79.054	0.021	0.0	0.05	0.073	25.0	1.06	0.0	2.502	1.589	83.108	0.0	0.0	0.0	0.001	1.399	0.025	0.0	0.016	0.137	16.892	0.018	0.0	0.013	0.133	14.189	1.067	0.0	2.809	2.021	84.459	1.055	0.0	2.728	1.65	81.081	1.324	0.0	3.199	1.848	86.486
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae	species	HMT-307		1.508	0.137	0.0	0.478	0.249	56.757	0.405	0.0	1.004	0.585	83.108	0.029	0.0	0.057	0.112	21.622	0.698	0.0	2.173	1.017	83.784	0.001	0.0	0.0	0.004	2.098	0.072	0.0	0.12	0.282	23.649	0.038	0.0	0.078	0.151	22.297	1.508	0.057	3.781	2.194	93.919	0.65	0.0	1.565	0.912	81.081	1.014	0.023	2.638	1.201	89.865
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	HMT-308		0.734	0.152	0.0	0.363	0.276	70.946	0.409	0.0	1.179	0.529	87.838	0.057	0.0	0.096	0.274	30.405	0.485	0.0	1.263	0.705	83.108	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.117	0.297	42.568	0.034	0.0	0.095	0.074	37.838	0.62	0.019	1.45	0.871	89.865	0.633	0.0	2.028	0.817	88.514	0.734	0.0	2.142	0.972	88.514
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-309	species	HMT-309		0.313	0.013	0.0	0.028	0.041	17.568	0.034	0.0	0.094	0.098	25.676	0.001	0.0	0.0	0.011	2.027	0.129	0.0	0.401	0.299	37.838	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.04	3.378	0.001	0.0	0.0	0.006	1.351	0.313	0.0	0.669	0.881	48.649	0.081	0.0	0.15	0.254	31.757	0.168	0.0	0.457	0.433	43.243
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oris	species	HMT-311		2.361	0.26	0.0	0.395	1.042	72.973	0.111	0.0	0.188	0.651	52.027	0.011	0.0	0.031	0.042	12.838	0.698	0.0	1.451	2.001	77.027	0.0	0.0	0.0	0.002	0.699	2.361	0.028	7.696	3.825	91.216	0.563	0.0	1.599	1.341	75.676	0.686	0.044	1.796	0.754	92.568	0.037	0.0	0.063	0.14	35.811	0.181	0.0	0.272	0.849	60.135
