Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014991-SUPP	S700015283-SUPP	S700015659-SUPP	S700016075-SUPP	S700016166-SUPP	S700016331-SUPP	S700016372-SUPP	S700016588-SUPP	S700016646-SUPP	S700016946-SUPP	S700021856-SUPP	S700021910-SUPP	S700023019-SUPP	S700023076-SUPP	S700023206-SUPP	S700023257-SUPP	S700023329-SUPP	S700023416-SUPP	S700023473-SUPP	S700023527-SUPP	S700023574-SUPP	S700023688-SUPP	S700023784-SUPP	S700023841-SUPP	S700023898-SUPP	S700023964-SUPP	S700024021-SUPP	S700024062-SUPP	S700024125-SUPP	S700024183-SUPP	S700024229-SUPP	S700024288-SUPP	S700024336-SUPP	S700024375-SUPP	S700024441-SUPP	S700024488-SUPP	S700024537-SUPP	S700024584-SUPP	S700024633-SUPP	S700024669-SUPP	S700024729-SUPP	S700024786-SUPP	S700024823-SUPP	S700024900-SUPP	S700024944-SUPP	S700024994-SUPP	S700033017-SUPP	S700033176-SUPP	S700033473-SUPP	S700033773-SUPP	S700037070-SUPP	S700037218-SUPP	S700037466-SUPP	S700037578-SUPP	S700038049-SUPP	S700038245-SUPP	S700038382-SUPP	S700038468-SUPP	S700038516-SUPP	S700038564-SUPP	S700038612-SUPP	S700038720-SUPP	S700038779-SUPP	S700095396-SUPP	S700097277-SUPP	S700097337-SUPP	S700097674-SUPP	S700098313-SUPP	S700098978-SUPP	S700099045-SUPP	S700099105-SUPP	S700099633-SUPP	S700099789-SUPP	S700100273-SUPP	S700101681-SUPP	S700102285-SUPP	S700102631-SUPP	S700102948-SUPP	S700103259-SUPP	S700103323-SUPP	S700103464-SUPP	S700103533-SUPP	S700103603-SUPP	S700103690-SUPP	S700105083-SUPP	S700105142-SUPP	S700105199-SUPP	S700105256-SUPP	S700105302-SUPP	S700105390-SUPP	S700105435-SUPP	S700105510-SUPP	S700105608-SUPP	S700105664-SUPP	S700105703-SUPP	S700105826-SUPP	S700105874-SUPP	S700105922-SUPP	S700105954-SUPP	S700106036-SUPP	S700106111-SUPP	S700106378-SUPP	S700106538-SUPP	S700106597-SUPP	S700106633-SUPP	S700106681-SUPP	S700106741-SUPP	S700106855-SUPP	S700106894-SUPP	S700106918-SUPP	S700106964-SUPP	S700106997-SUPP	S700108328-SUPP	S700113005-SUPP	S700113053-SUPP	S700113089-SUPP	S700113136-SUPP	S700113521-SUPP	S700113596-SUPP	S700113634-SUPP	S700113692-SUPP	S700113836-SUPP	S700113950-SUPP	S700114035-SUPP	S700114086-SUPP	S700114143-SUPP	S700114207-SUPP	S700114264-SUPP	S700114405-SUPP	S700114476-SUPP	S700114535-SUPP	S700114576-SUPP	S700114633-SUPP	S700114697-SUPP	S700114745-SUPP	S700114795-SUPP	S700114852-SUPP	S700114900-SUPP	S700114957-SUPP	S700116235-SUPP	S700116322-SUPP	S700116376-SUPP	S700116586-SUPP	S700116637-SUPP	S700116796-SUPP	S700116856-SUPP	S700117018-SUPP	S700117678-SUPP	S700117735-SUPP	S700117846-SUPP	S700117972-SUPP
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417	2678		0.156	0.0	0.016	0.42	0.0	0.075	0.037	0.0	0.0	0.029	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.186	0.0	0.0	0.0	0.433	0.0	0.022	0.104	0.013	0.0	0.0	0.0	2.376	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.025	0.0	0.016	0.0	0.0	0.049	0.04	0.0	0.0	0.0	0.0	0.086	0.0	0.13	0.066	0.0	0.005	0.015	0.019	0.019	0.0	0.084	0.02	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.022	2.426	0.151	0.0	0.13	0.009	0.003	0.0	0.0	0.036	0.018	0.24	0.01	0.0	0.624	0.008	0.0	0.0	0.0	0.019	0.041	0.023	0.0	0.0	0.259	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.038	0.407	0.0	0.018	0.477	0.0	0.012	0.284	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.082	0.034	0.134	1.346	0.015	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.037	0.01	0.0	0.017	0.053	0.012	0.027	0.06	0.186	0.006	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-498	species	498	2730		0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.596	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.018	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.035	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-909	species	909	3055		0.0	0.0	0.0	0.0	0.0	0.0	0.681	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222	2505		2.838	0.0	0.427	2.251	0.0	6.936	0.805	0.244	0.164	1.742	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	1.102	0.013	0.0	0.0	0.335	0.0	0.265	2.001	0.0	0.0	0.0	0.0	3.263	0.0	0.0	0.026	0.0	0.0	0.226	0.0	0.0	0.0	0.0	0.0	0.024	0.115	0.0	0.025	0.065	0.0	0.012	3.025	0.072	0.065	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.059	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.369	0.155	4.35	0.954	0.0	3.265	0.0	0.423	0.06	0.0	0.054	0.272	0.051	0.368	0.0	1.082	0.0	0.01	0.0	0.102	0.0	2.277	0.0	0.0	0.0	0.414	0.0	0.0	1.036	0.0	0.0	0.55	0.0	0.015	0.214	0.0	2.155	0.136	0.007	0.012	0.3	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.151	0.0	0.0	0.0	0.0	0.409	0.0	0.0	0.017	0.309	0.655	0.0	0.0	0.156	0.0	0.018	0.14	0.05	0.0	0.007	2.776	0.0	0.0	0.0	0.0	0.046	0.19	0.0	0.166	0.013	0.0	0.301	0.632	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;goodfellowii	species	845	2994		0.0	0.0	0.115	0.0	0.0	0.0	0.0	0.049	0.229	0.029	0.057	0.0	0.0	0.0	0.014	0.027	0.0	0.0	0.0	0.006	0.018	0.0	0.0	0.025	0.0	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.237	0.072	0.047	0.008	0.0	0.0	0.0	0.488	0.0	0.0	0.082	0.026	0.0	0.0	0.057	0.116	0.182	0.0	0.0	0.0	0.0	0.016	0.103	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.033	0.0	0.106	0.078	0.284	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.008	0.01	0.0	0.0	0.0	0.0	0.196	0.0	0.033	0.0	0.0	1.063	0.0	0.0	0.0	0.011	0.015	0.015	0.0	0.0	0.0	0.0	0.015	0.0	0.008	0.028	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.198	0.0	0.033	0.0	0.0	0.0	0.03	0.012	0.009	0.103	0.095	0.0	0.0	0.881	0.0	0.009	0.0	0.0	0.373	0.0	0.0	0.03	0.0	0.0	0.03	0.0	0.014	0.0	0.0	0.102	0.044	0.0	0.043	0.0	0.137
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-219	species	219	2502		0.0	0.0	0.041	0.007	0.0	0.0	0.272	0.13	0.087	0.01	0.566	0.0	0.0	0.0	0.0	0.041	0.0	0.065	0.258	0.058	0.053	0.0	0.14	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.143	0.062	0.013	0.203	0.0	0.065	0.197	0.0	0.0	0.331	0.0	0.0	0.0	0.013	0.075	0.0	0.134	0.185	0.029	0.0	0.0	0.428	0.0	0.0	0.03	0.174	1.313	0.0	0.0	0.163	0.0	0.0	0.0	0.012	0.0	0.022	0.739	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.1	0.711	0.0	0.0	0.025	0.061	0.03	0.0	0.224	0.0	0.016	0.06	0.0	0.0	0.075	0.0	0.0	0.0	0.0	3.254	0.0	0.021	0.0	0.0	0.0	0.0	1.959	0.011	0.018	0.017	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.407	0.0	0.0	0.482	0.452	0.012	2.703	0.402	0.107	0.0	0.038	0.605	0.0	0.018	0.07	0.02	0.328	0.007	0.0	0.101	0.0	0.0	0.06	0.0	0.177	0.0	0.0	0.185	0.007	1.4	0.0	0.041	0.376
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221	2504		0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.049	0.17	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.014	0.006	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.115	0.013	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.038	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.219	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.014	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.071	0.017	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.01	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.461	0.0	0.0	0.0	0.008	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.021	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1];bacterium HMT-871	species	871	3017		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.151	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.006	0.0	0.0	0.0	0.362	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.364	0.0	0.0	0.0	0.304	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1];bacterium HMT-872	species	872	3018		0.0	0.0	0.312	0.0	0.0	0.0	0.136	0.424	0.011	0.196	0.0	0.0	0.0	0.0	0.0	1.067	0.0	0.0	0.172	1.247	0.018	0.0	0.112	0.0	0.0	0.0	0.924	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.263	0.013	0.274	0.0	0.0	0.0	0.331	0.0	0.643	0.0	0.0	0.075	0.0	0.07	0.029	0.594	0.024	0.108	0.0	0.0	0.021	0.0	0.039	0.0	0.0	0.0	0.102	0.0	0.0	0.0	0.086	0.033	0.0	1.794	0.0	0.0	0.0	0.0	0.824	1.555	0.988	0.0	2.956	0.757	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.425	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.356	0.015	0.022	0.0	0.0	0.085	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.277	0.0	0.0	0.131	0.0	0.0	0.026	0.01	0.083	0.0	0.595	0.276	0.0	0.0	0.186	0.0	0.134	0.0	0.0	0.162	0.0	0.0	0.12	0.0	0.0	0.0	0.029	0.0	0.148	0.467	0.011	0.0	0.068
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022	2313		0.306	0.148	2.063	1.934	0.53	0.236	1.782	4.123	7.448	2.544	5.034	0.292	11.081	3.013	0.848	11.464	20.095	2.762	1.903	34.569	10.264	4.232	1.675	1.009	0.728	0.934	0.257	0.782	20.522	2.201	0.591	0.715	5.774	0.092	3.035	0.047	14.101	4.947	0.012	0.332	1.497	8.668	2.785	0.771	4.032	2.21	0.032	5.235	1.292	0.996	0.696	1.231	7.518	2.629	10.818	4.548	0.077	12.648	0.163	1.214	0.203	3.597	0.0	0.0	7.383	4.028	1.433	0.607	3.997	0.415	0.893	4.693	1.086	21.241	1.184	1.759	5.655	7.373	1.847	1.239	0.737	3.507	0.027	0.0	0.275	2.846	0.06	1.455	0.205	0.0	0.012	7.888	0.559	2.167	0.0	0.0	0.989	1.79	1.511	0.845	0.0	0.244	3.84	0.125	4.697	13.036	14.914	1.997	3.125	3.496	3.544	0.244	8.774	3.315	11.546	0.0	0.058	8.072	0.945	0.252	12.869	3.24	0.0	11.435	0.0	0.0	4.419	6.048	3.873	0.035	0.877	0.786	0.699	2.301	3.851	2.003	0.386	3.213	0.045	4.584	1.468	5.299	2.515	0.194	0.225	0.714	8.953	4.819	0.032	0.473	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406	2671		0.0	0.148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;ebreus	species	209	2492		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.299	0.0	0.0	0.023	0.0	0.0	0.0	0.027	0.029	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;testosteroni	species	858	3006		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.014	0.0	0.012	0.016	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia;sp. HMT-894	species	894	3040		5.644	0.0	0.238	0.11	0.0	0.054	0.012	0.016	0.164	0.01	0.0	0.0	0.0	0.0	0.0	0.216	0.0	0.033	0.0	0.0	0.387	0.0	0.014	0.101	0.0	0.015	1.875	0.0	0.007	0.042	0.034	0.726	2.241	0.0	0.0	0.162	0.008	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.603	0.0	0.096	0.0	0.0	0.024	0.0	1.229	0.01	0.011	0.044	0.0	0.0	0.0	0.167	0.02	0.0	0.0	0.0	0.184	0.0	0.0	0.0	0.0	0.087	0.0	0.0	0.02	1.882	0.0	0.26	0.464	0.0	0.0	0.177	0.041	0.03	0.0	0.0	0.01	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.127	0.474	0.0	0.0	0.0	0.036	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.965	0.0	4.806	0.0	0.0	0.088	0.0	0.0	0.0	0.0	0.214	0.0	0.101	0.017	0.0	0.0	0.023	0.0	0.134	0.0	0.062	0.061	0.015	0.0	0.015	0.0	0.014	0.685	0.117	0.0	0.066	0.647	0.021	0.07	0.581
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577	2792		0.671	0.421	0.411	0.124	0.184	0.097	0.507	0.196	0.589	0.646	0.792	0.13	1.248	0.501	0.287	0.554	0.02	0.049	1.073	0.032	1.125	0.033	0.154	0.277	0.43	0.074	0.514	0.013	0.198	0.071	0.477	0.363	0.093	0.514	0.597	0.486	0.121	0.221	0.037	0.154	0.614	0.038	0.226	0.164	1.005	0.251	0.016	0.236	0.556	0.182	0.552	0.843	0.318	0.524	0.316	1.403	1.274	0.128	0.015	1.306	1.93	1.443	0.0	1.513	0.676	0.099	0.066	0.739	0.1	0.415	0.091	0.179	0.977	1.839	0.443	0.34	0.237	0.433	0.272	0.354	1.064	0.172	0.481	1.492	1.04	0.031	0.681	0.394	2.088	0.0	0.037	0.283	0.145	0.217	1.031	0.49	2.208	0.196	0.095	0.4	0.659	0.481	0.519	0.802	0.885	0.38	0.244	0.292	0.095	0.795	0.03	0.115	0.086	0.09	0.164	0.34	1.232	0.065	0.44	0.032	1.443	0.934	1.249	0.306	0.043	1.71	0.572	0.193	0.38	1.054	0.0	0.605	0.186	0.278	1.0	0.303	0.846	0.132	0.239	0.025	0.587	0.22	0.653	1.549	0.771	1.071	0.45	1.25	0.611	1.355	0.99
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;denitrificans	species	582	2796		0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.228	0.0	0.02	0.0	0.0	0.292	0.235	0.0	0.014	0.0	0.0	0.2	0.0	0.0	0.1	0.042	0.353	0.0	0.0	0.077	0.067	0.013	0.0	0.387	0.0	0.0	0.0	0.131	3.078	0.113	0.0	0.593	0.0	0.0	0.0	0.0	0.312	0.37	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.514	0.0	0.783	0.0	0.0	0.0	0.519	0.589	0.0	0.0	0.0	0.037	0.115	0.0	4.009	0.0	0.066	0.0	0.051	0.0	0.0	0.003	0.0	0.062	0.0	0.0	0.013	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.999	0.017	0.243	0.015	0.409	0.776	0.0	0.0	0.0	1.506	0.0	0.0	2.052	1.675	0.053	0.029	0.257	0.018	0.0	0.0	0.139	0.0	0.0	0.0	0.095	0.131	0.015	0.0	0.0	0.0	1.596	0.0	0.038	0.363	0.0	0.0	0.536	0.0	1.358	0.245	0.162	0.0	0.0	0.0	0.03	0.069	1.196	0.0	0.322	0.0	0.0	0.151	0.0	0.006	0.085
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706	2890		0.137	0.0	0.263	2.003	1.053	0.183	0.446	0.391	0.371	0.988	0.226	0.227	0.027	0.157	0.56	0.297	0.289	1.34	0.329	0.0	0.193	0.1	0.768	0.959	0.508	2.223	6.061	0.687	0.033	0.113	0.182	0.275	0.016	2.216	0.49	0.412	0.024	3.208	3.313	10.971	1.843	0.338	10.701	7.249	0.106	0.427	2.79	0.3	2.062	0.048	0.264	1.339	2.403	0.0	0.321	4.932	3.281	0.122	0.148	2.688	0.345	2.842	0.976	4.996	0.283	0.214	7.582	2.902	1.732	0.284	1.817	0.434	1.478	1.169	1.322	0.44	0.597	0.018	2.3	0.645	0.409	0.375	4.253	0.967	5.904	3.701	1.974	0.685	1.882	0.0	2.117	2.996	7.771	0.609	1.733	1.54	0.179	2.54	2.927	0.623	0.121	0.909	2.019	6.056	0.681	0.015	0.29	1.688	1.339	0.931	0.44	3.326	0.029	0.83	0.995	3.13	0.848	0.162	0.016	0.095	0.237	1.927	1.43	0.999	0.163	0.258	2.442	0.045	0.19	0.674	0.854	0.714	2.445	1.2	0.94	2.226	4.456	0.659	3.787	5.06	1.475	4.304	1.455	2.144	0.439	0.606	3.031	0.919	1.778	3.72	2.459
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;sp. HMT-012	species	012	2303		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.115	0.0	0.0	0.0	0.8	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.074	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.191	0.0	0.0	0.0	0.0	0.524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791	0.0	0.0	0.0	0.0	0.0	0.0
